"Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type"
"201401BS70054,2,1,1,1,32,6,3,0,0,0,0,0,1,1"
"201401BS70055,1,1,2,1,12,3,3,0,0,0,3,0,11,1"
"201401BS70055,1,2,2,1,12,3,3,0,0,0,3,0,11,1"
"201401BS70056,1,1,3,2,54,8,3,4,9,0,0,2,0,1"
"201401BS70058,2,1,1,2,31,6,3,0,0,0,0,0,1,1"
"201401BS70059,1,1,1,1,26,6,3,0,0,0,0,0,3,1"
"201401BS70060,1,1,1,1,42,7,3,0,0,0,0,0,9,1"
"201401BS70063,1,1,3,1,49,8,3,10,9,0,0,2,0,1"
"201401BS70065,2,1,1,1,32,6,3,0,0,0,0,0,1,-1"
"201401BS70066,2,1,1,1,27,6,3,0,0,0,0,0,3,1"
"201401BS70067,2,1,1,2,36,7,3,0,0,0,0,0,1,1"
"201401BS70069,1,1,3,2,46,8,3,1,3,0,0,2,0,1"
"201401BS70074,1,1,1,2,39,7,3,0,0,0,0,0,1,1"
"201401BS70075,1,1,1,1,29,6,3,0,0,0,0,0,9,1"
"201401BS70076,1,1,1,1,42,7,3,0,0,0,0,0,3,1"
"201401BS70076,1,2,2,1,27,6,3,0,0,0,0,0,3,1"
"201401BS70077,2,1,1,1,63,9,3,0,0,0,0,0,9,1"
"201401BS70078,1,1,3,2,44,7,3,5,1,0,0,2,0,1"
"201401BS70080,1,1,3,2,46,8,3,4,1,0,0,2,0,1"
"201401BS70081,1,1,3,2,51,8,3,4,1,0,0,2,0,-1"
"201401BS70082,1,1,1,1,22,5,3,0,0,0,0,0,3,1"
"201401BS70083,1,1,1,1,27,6,3,0,0,0,0,0,1,1"
"201401BS70084,1,1,1,2,44,7,3,0,0,0,0,0,19,-1"
"201401BS70085,2,1,1,1,33,6,3,0,0,0,0,0,1,1"
"201401BS70086,2,1,1,1,30,6,3,0,0,0,0,0,3,1"
"201401BS70087,1,1,3,2,44,7,3,4,9,0,0,2,0,1"
"201401BS70089,1,1,1,1,21,5,3,0,0,0,0,0,4,1"
"201401BS70089,2,2,2,1,31,6,3,0,0,2,0,0,9,1"
"201401BS70090,1,1,3,1,27,6,3,10,9,0,0,2,0,1"
"201401BS70091,2,1,3,1,46,8,3,10,9,0,0,2,0,1"
"201401BS70092,1,1,2,2,29,6,3,0,0,1,0,0,9,-1"
"201401BS70093,1,1,1,2,27,6,3,0,0,0,0,0,1,1"
"201401BS70095,1,1,2,2,48,8,3,0,0,0,3,0,11,1"
"201401BS70096,1,1,1,1,29,6,3,0,0,0,0,0,3,1"
"201401BS70096,1,2,3,1,43,7,3,4,2,0,0,2,0,1"
"201401BS70097,1,1,2,2,51,8,3,0,0,0,2,0,11,-1"
"201401BS70101,1,1,1,2,35,6,3,0,0,0,0,0,9,1"
"201401BS70102,1,1,1,1,38,7,3,0,0,0,0,0,11,1"
"201401BS70102,1,2,2,2,61,9,3,0,0,0,4,0,11,-1"
"201401BS70103,1,1,3,1,48,8,3,4,3,0,0,2,0,-1"
"201401BS70104,1,1,1,1,27,6,3,0,0,0,0,0,4,1"
"201401BS70105,2,1,1,1,53,8,3,0,0,0,0,0,3,1"
"201401BS70106,1,1,1,2,47,8,3,0,0,0,0,0,1,1"
"201401BS70107,1,1,3,2,89,11,2,1,1,0,0,2,0,1"
"201401BS70108,1,1,2,2,25,5,3,0,0,1,0,0,9,-1"
"201401BS70108,2,2,1,2,52,8,3,0,0,0,0,0,9,3"
"201401BS70109,1,1,1,1,37,7,3,0,0,0,0,0,5,1"
"201401BS70110,2,1,1,1,46,8,3,0,0,0,0,0,1,1"
"201401BS70113,1,1,3,2,26,6,3,5,1,0,0,2,0,1"
"201401BS70114,1,1,1,1,38,7,3,0,0,0,0,0,3,1"
"201401BS70115,1,1,1,1,-1,-1,3,0,0,0,0,0,1,-1"
"201401BS70115,1,2,3,1,54,8,2,9,9,0,0,2,0,1"
"201401BS70116,1,1,1,1,60,9,2,0,0,0,0,0,5,1"
"201401BS70117,1,1,1,1,55,8,3,0,0,0,0,0,8,1"
"201401BS70118,2,1,2,2,57,9,3,0,0,2,0,0,8,1"
"201401BS70119,1,1,3,1,73,10,3,5,1,0,0,2,0,1"
"201401BS70121,1,1,2,2,30,6,3,0,0,2,0,0,8,1"
"201401BS70122,1,1,1,1,57,9,3,0,0,0,0,0,1,1"
"201401BS70123,1,1,1,1,43,7,3,0,0,0,0,0,1,1"
"201401BS70124,1,1,1,1,-1,-1,3,0,0,0,0,0,9,-1"
"201401BS70124,1,2,2,1,-1,-1,3,0,0,1,0,0,9,-1"
"201401BS70124,2,3,1,1,41,7,3,0,0,0,0,0,9,1"
"201401BS70126,2,1,1,1,41,7,3,0,0,0,0,0,1,1"
"201401BS70127,2,1,1,2,35,6,3,0,0,0,0,0,1,-1"
"201401BS70128,1,1,1,2,48,8,3,0,0,0,0,0,9,1"
"201401BS70129,2,1,1,1,26,6,3,0,0,0,0,0,2,1"
"201401BS70130,1,1,1,1,29,6,3,0,0,0,0,0,9,1"
"201401BS70133,1,1,3,2,22,5,3,4,1,0,0,2,0,1"
"201401BS70134,2,1,1,1,21,5,3,0,0,0,0,0,3,1"
"201401BS70136,2,1,1,1,49,8,3,0,0,0,0,0,5,1"
"201401BS70137,1,1,3,1,28,6,3,5,1,0,0,2,0,1"
"201401BS70138,3,1,1,1,25,5,3,0,0,0,0,0,3,1"
"201401BS70139,2,1,1,1,36,7,3,0,0,0,0,0,8,1"
"201401BS70140,1,1,1,1,49,8,3,0,0,0,0,0,1,1"
"201401BS70141,1,1,1,2,43,7,2,0,0,0,0,0,1,1"
"201401BS70142,2,1,1,1,28,6,3,0,0,0,0,0,3,1"
"201401BS70143,2,1,2,2,29,6,3,0,0,0,0,0,5,1"
"201401BS70144,1,1,1,2,42,7,3,0,0,0,0,0,9,1"
"201401BS70145,1,1,1,1,35,6,2,0,0,0,0,0,1,1"
"201401BS70146,2,1,1,1,22,5,3,0,0,0,0,0,5,1"
"201401BS70147,1,1,1,1,21,5,3,0,0,0,0,0,3,1"
"201401BS70148,1,1,1,1,36,7,3,0,0,0,0,0,19,-1"
"201401BS70148,2,2,1,1,76,11,3,0,0,0,0,0,9,1"
"201401BS70149,1,1,1,2,48,8,3,0,0,0,0,0,9,1"
"201401BS70150,1,1,3,2,12,3,3,1,1,0,0,2,0,1"
"201401BS70152,1,1,1,1,28,6,3,0,0,0,0,0,2,1"
"201401BS70153,1,1,3,2,60,9,3,9,6,0,0,2,0,1"
"201401BS70155,1,1,1,1,37,7,3,0,0,0,0,0,1,-1"
"201401BS70156,2,1,1,2,47,8,3,0,0,0,0,0,1,1"
"201401BS70157,1,1,1,1,26,6,3,0,0,0,0,0,3,1"
"201401BS70159,1,1,2,2,94,11,3,0,0,0,2,0,11,1"
"201401BS70160,1,1,3,1,67,10,3,5,1,0,0,2,0,1"
"201401BS70161,2,1,1,1,45,7,3,0,0,0,0,0,19,1"
"201401BS70162,1,1,1,1,33,6,3,0,0,0,0,0,9,1"
"201401BS70163,2,1,1,2,23,5,3,0,0,0,0,0,1,1"
"201401BS70164,1,1,1,1,15,3,3,0,0,0,0,0,9,1"
"201401BS70164,1,2,3,1,78,11,3,9,9,0,0,2,0,1"
"201401BS70165,1,1,2,2,2,1,3,0,0,0,4,0,11,1"
"201401BS70166,1,1,2,2,59,9,3,0,0,0,3,0,11,1"
"201401BS70167,2,1,1,1,27,6,2,0,0,0,0,0,3,1"
"201401BS70168,1,1,1,2,34,6,3,0,0,0,0,0,1,1"
"201401BS70171,1,1,3,2,41,7,3,5,3,0,0,2,0,-1"
"201401BS70172,2,1,1,1,20,4,3,0,0,0,0,0,3,1"
"201401BS70172,2,2,2,2,22,5,3,0,0,0,0,0,3,1"
"201401BS70173,1,1,3,1,21,5,3,2,1,0,0,2,0,-1"
"201401BS70174,1,1,3,2,25,5,3,1,1,0,0,2,0,1"
"201401BS70175,1,1,3,2,57,9,3,4,1,0,0,2,0,1"
"201401BS70176,2,1,1,1,26,6,3,0,0,0,0,0,3,1"
"201401BS70177,1,1,3,2,46,8,3,8,7,0,0,2,0,1"
"201401BS70178,1,1,3,1,66,10,3,5,3,0,0,2,0,-1"
"201401BS70179,2,1,1,1,32,6,3,0,0,0,0,0,9,1"
"201401BS70180,1,1,1,1,39,7,3,0,0,0,0,0,5,1"
"201401BS70181,1,1,3,2,55,8,3,5,3,0,0,2,0,1"
"201401BS70182,1,1,3,2,13,3,2,5,3,0,0,2,0,1"
"201401BS70183,1,1,3,1,12,3,3,4,1,0,0,2,0,1"
"201401BS70185,1,1,3,2,71,10,3,4,2,0,0,2,0,1"
"201401BS70186,1,1,1,1,50,8,3,0,0,0,0,0,19,1"
"201401BS70186,1,2,2,1,54,8,2,0,0,0,0,0,19,1"
"201401BS70186,1,3,2,2,86,11,2,0,0,0,0,0,19,1"
"201401BS70187,1,1,3,1,42,7,3,5,3,0,0,2,0,1"
"201401BS70187,1,2,3,2,26,6,3,5,3,0,0,2,0,1"
"201401BS70188,1,1,1,1,32,6,3,0,0,0,0,0,2,1"
"201401BS70189,1,1,1,1,38,7,3,0,0,0,0,0,10,1"
"201401BS70190,1,1,2,2,46,8,2,0,0,0,3,0,11,1"
"201401BS70191,2,1,1,1,43,7,3,0,0,0,0,0,1,1"
"201401BS70192,2,1,1,2,45,7,3,0,0,0,0,0,1,1"
"201401BS70193,1,1,1,1,56,9,3,0,0,0,0,0,1,1"
"201401BS70194,2,1,1,1,35,6,3,0,0,0,0,0,1,1"
"201401BS70195,2,1,1,1,34,6,3,0,0,0,0,0,1,1"
"201401BS70196,1,1,1,1,39,7,3,0,0,0,0,0,1,1"
"201401BS70198,1,1,3,1,68,10,3,1,1,0,0,2,0,1"
"201401BS70201,1,1,1,2,29,6,3,0,0,0,0,0,1,1"
"201401BS70202,2,1,1,1,25,5,3,0,0,0,0,0,1,1"
"201401BS70203,1,1,2,1,60,9,3,0,0,0,4,0,11,-1"
"201401BS70204,1,1,3,2,19,4,3,4,1,0,0,2,0,-1"
"201401BS70205,1,1,1,2,43,7,3,0,0,0,0,0,9,1"
"201401BS70205,2,2,2,2,83,11,3,0,0,1,0,0,9,1"
"201401BS70207,1,1,3,1,13,3,3,4,1,0,0,2,0,1"
"201401BS70208,2,1,1,1,83,11,3,0,0,0,0,0,1,1"
"201401BS70210,1,1,1,1,47,8,3,0,0,0,0,0,5,1"
"201401BS70214,1,1,3,1,43,7,3,5,1,0,0,2,0,1"
"201401BS70215,2,1,1,1,52,8,3,0,0,0,0,0,1,1"
"201401BS70217,1,1,1,1,56,9,3,0,0,0,0,0,1,-1"
"201401BS70218,1,1,1,1,43,7,3,0,0,0,0,0,1,1"
"201401BS70219,1,1,1,1,40,7,3,0,0,0,0,0,1,1"
"201401BS70220,1,1,1,1,51,8,3,0,0,0,0,0,5,1"
"201401BS70221,2,1,1,2,31,6,3,0,0,0,0,0,9,1"
"201401BS70222,2,1,1,2,31,6,3,0,0,0,0,0,9,1"
"201401BS70223,2,1,1,1,42,7,2,0,0,0,0,0,1,-1"
"201401BS70225,1,1,1,2,27,6,3,0,0,0,0,0,9,1"
"201401BS70226,2,1,1,2,65,9,3,0,0,0,0,0,1,-1"
"201401BS70227,1,1,3,2,22,5,3,4,1,0,0,2,0,-1"
"201401BS70228,1,1,1,1,27,6,3,0,0,0,0,0,21,-1"
"201401BS70228,1,2,2,1,28,6,3,0,0,0,0,0,21,1"
"201401BS70229,2,1,1,2,36,7,3,0,0,0,0,0,1,-1"
"201401BS70231,1,1,1,1,31,6,3,0,0,0,0,0,3,1"
"201401BS70232,2,1,1,2,28,6,3,0,0,0,0,0,1,1"
"201401BS70233,2,1,1,1,45,7,3,0,0,0,0,0,1,1"
"201401BS70234,2,1,1,1,43,7,3,0,0,0,0,0,1,-1"
"201401BS70236,1,1,1,1,48,8,3,0,0,0,0,0,1,1"
"201401BS70238,1,1,1,1,34,6,3,0,0,0,0,0,3,1"
"201401BS70239,2,1,1,1,19,4,2,0,0,0,0,0,3,1"
"201401BS70240,1,1,1,1,38,7,3,0,0,0,0,0,5,1"
"201401BS70241,2,1,1,1,49,8,2,0,0,0,0,0,1,1"
"201401BS70243,2,1,1,1,30,6,3,0,0,0,0,0,9,1"
"201401BS70244,2,1,1,1,35,6,3,0,0,0,0,0,3,1"
"201401BS70245,1,1,1,1,49,8,3,0,0,0,0,0,90,1"
"201401BS70246,1,1,3,2,29,6,3,1,1,0,0,2,0,1"
"201401BS70247,1,1,1,1,27,6,3,0,0,0,0,0,1,1"
"201401BS70248,1,1,3,2,49,8,3,5,1,0,0,2,0,1"
"201401BS70249,1,1,3,2,47,8,3,4,1,0,0,2,0,3"
"201401BS70250,1,1,3,2,2,1,2,1,3,0,0,2,0,1"
"201401BS70252,1,1,1,1,37,7,3,0,0,0,0,0,1,1"
"201401BS70253,2,1,1,1,26,6,3,0,0,0,0,0,1,1"
"201401BS70254,1,1,1,1,25,5,3,0,0,0,0,0,3,1"
"201401BS70256,1,1,1,2,30,6,3,0,0,0,0,0,9,1"
"201401BS70257,1,1,3,1,43,7,3,5,1,0,0,2,0,1"
"201401BS70259,1,1,2,1,4,1,2,0,0,0,2,0,11,1"
"201401BS70261,2,1,1,1,69,10,2,0,0,0,0,0,1,-1"
"201401BS70262,1,1,1,1,22,5,3,0,0,0,0,0,5,1"
"201401BS70263,1,1,1,1,21,5,3,0,0,0,0,0,9,1"
"201401BS70264,1,1,1,2,24,5,2,0,0,0,0,0,1,1"
"201401BS70266,1,1,1,1,47,8,3,0,0,0,0,0,5,1"
"201401BS70267,2,1,1,1,27,6,3,0,0,0,0,0,1,1"
"201401BS70268,2,1,1,2,42,7,3,0,0,0,0,0,9,1"
"201401BS70269,1,1,1,1,28,6,3,0,0,0,0,0,3,1"
"201401BS70272,2,1,1,1,29,6,3,0,0,0,0,0,1,1"
"201401BS70273,1,1,1,2,43,7,3,0,0,0,0,0,9,1"
"201401BS70274,1,1,3,2,29,6,3,1,1,0,0,2,0,1"
"201401BS70275,1,1,3,2,32,6,3,1,1,0,0,2,0,1"
"201401BS70276,1,1,1,1,43,7,3,0,0,0,0,0,1,1"
"201401BS70277,1,1,3,1,31,6,3,1,3,0,0,2,0,1"
"201401BS70278,1,1,3,2,27,6,3,1,1,0,0,2,0,1"
"201401BS70279,2,1,1,1,-1,-1,3,0,0,0,0,0,2,-1"
"201401BS70280,1,1,1,1,23,5,3,0,0,0,0,0,9,1"
"201401BS70280,1,2,2,1,24,5,3,0,0,1,0,0,9,1"
"201401BS70280,2,3,1,2,64,9,3,0,0,0,0,0,9,1"
"201401BS70281,1,1,1,1,38,7,2,0,0,0,0,0,3,1"
"201401BS70282,2,1,1,1,35,6,3,0,0,0,0,0,5,1"
"201401BS70283,1,1,3,1,6,2,3,6,9,0,0,2,0,1"
"201401BS70284,1,1,3,2,44,7,3,1,1,0,0,2,0,1"
"201401BS70285,1,1,3,2,14,3,3,5,1,0,0,2,0,1"
"201401BS70286,2,1,1,2,34,6,3,0,0,0,0,0,9,1"
"201401BS70287,1,1,1,2,31,6,3,0,0,0,0,0,1,1"
"201401BS70288,1,1,1,1,35,6,3,0,0,0,0,0,1,1"
"201401BS70290,1,1,1,1,40,7,3,0,0,0,0,0,9,1"
"201401BS70291,1,1,1,1,30,6,2,0,0,0,0,0,1,1"
"201401BS70291,2,2,3,2,37,7,3,10,9,0,0,2,0,1"
"201401BS70292,1,1,1,1,41,7,3,0,0,0,0,0,8,1"
"201401BS70292,1,2,2,2,50,8,3,0,0,2,0,0,8,1"
"201401BS70293,1,1,1,1,30,6,3,0,0,0,0,0,5,1"
"201401BS70293,2,2,1,1,50,8,3,0,0,0,0,0,9,1"
"201401BS70294,1,1,1,1,33,6,3,0,0,0,0,0,1,1"
"201401BS70295,1,1,3,1,65,9,3,4,3,0,0,2,0,1"
"201401BS70296,1,1,1,1,31,6,3,0,0,0,0,0,3,1"
"201401BS70297,2,1,1,1,20,4,3,0,0,0,0,0,1,-1"
"201401BS70298,1,1,1,1,35,6,3,0,0,0,0,0,3,1"
"201401BS70299,1,1,1,1,24,5,3,0,0,0,0,0,1,1"
"201401BS70303,1,1,1,1,35,6,3,0,0,0,0,0,9,1"
"201401BS70304,1,1,1,1,47,8,3,0,0,0,0,0,5,1"
"201401BS70305,1,1,1,1,45,7,3,0,0,0,0,0,3,1"
"201401BS70306,1,1,1,1,-1,-1,3,0,0,0,0,0,19,1"
"201401BS70307,1,1,1,1,25,5,3,0,0,0,0,0,9,1"
"201401BS70308,1,1,3,2,28,6,3,5,1,0,0,2,0,1"
"201401BS70309,2,1,1,1,34,6,3,0,0,0,0,0,1,1"
"201401BS70310,1,1,1,1,27,6,3,0,0,0,0,0,5,1"
"201401BS70311,1,1,3,2,30,6,2,5,1,0,0,2,0,1"
"201401BS70312,1,1,1,1,23,5,3,0,0,0,0,0,1,1"
"201401BS70313,1,1,1,2,30,6,3,0,0,0,0,0,1,1"
"201401BS70316,2,1,1,1,29,6,3,0,0,0,0,0,1,1"
"201401BS70317,1,1,1,2,50,8,3,0,0,0,0,0,9,-1"
"201401BS70317,2,2,1,1,52,8,3,0,0,0,0,0,8,1"
"201401BS70318,1,1,3,2,68,10,3,5,1,0,0,2,0,1"
"201401BS70319,1,1,1,1,50,8,2,0,0,0,0,0,1,1"
"201401BS70320,1,1,1,1,31,6,3,0,0,0,0,0,1,1"
"201401BS70321,2,1,1,1,35,6,3,0,0,0,0,0,1,1"
"201401BS70322,2,1,1,1,46,8,2,0,0,0,0,0,1,1"
"201401BS70323,2,1,1,2,32,6,3,0,0,0,0,0,1,1"
"201401BS70324,2,1,1,1,42,7,3,0,0,0,0,0,1,1"
"201401BS70325,2,1,1,1,31,6,3,0,0,0,0,0,3,1"
"201401BS70326,1,1,2,1,48,8,3,0,0,0,3,0,11,1"
"201401BS70327,1,1,1,1,46,8,3,0,0,0,0,0,5,1"
"201401BS70328,1,1,1,1,17,4,3,0,0,0,0,0,1,1"
"201401BS70329,1,1,1,1,26,6,3,0,0,0,0,0,5,1"
"201401BS70330,1,1,1,1,49,8,3,0,0,0,0,0,4,1"
"201401BS70331,1,1,3,1,32,6,3,6,9,0,0,2,0,1"
"201401BS70332,1,1,1,1,26,6,3,0,0,0,0,0,1,1"
"201401BS70334,1,1,1,1,13,3,3,0,0,0,0,0,1,1"
"201401BS70335,2,1,1,1,40,7,3,0,0,0,0,0,1,1"
"201401BS70336,2,1,1,2,34,6,3,0,0,0,0,0,1,1"
"201401BS70338,1,1,3,2,13,3,3,1,3,0,0,2,0,1"
"201401BS70339,2,1,1,1,48,8,3,0,0,0,0,0,1,1"
"201401BS70340,2,1,1,1,30,6,2,0,0,0,0,0,3,1"
"201401BS70341,1,1,3,1,53,8,3,9,5,0,0,2,0,1"
"201401BS70343,1,1,1,2,20,4,3,0,0,0,0,0,9,1"
"201401BS70344,1,1,3,2,14,3,3,5,1,0,0,2,0,1"
"201401BS70345,1,1,3,2,68,10,3,4,1,0,0,2,0,1"
"201401BS70347,1,1,1,1,43,7,3,0,0,0,0,0,1,1"
"201401BS70349,1,1,1,1,37,7,3,0,0,0,0,0,9,1"
"201401BS70351,2,1,1,2,47,8,3,0,0,0,0,0,3,1"
"201401BS70352,1,1,1,1,35,6,3,0,0,0,0,0,9,1"
"201401BS70353,1,1,3,2,26,6,3,5,3,0,0,2,0,1"
"201401BS70354,2,1,1,1,27,6,3,0,0,0,0,0,3,1"
"201401BS70355,1,1,3,2,92,11,3,4,1,0,0,2,0,1"
"201401BS70356,1,1,1,2,27,6,3,0,0,0,0,0,1,1"
"201401BS70357,2,1,1,2,85,11,2,0,0,0,0,0,9,1"
"201401BS70358,2,1,1,1,26,6,3,0,0,0,0,0,1,1"
"201401BS70359,1,1,3,2,32,6,3,9,9,0,0,2,0,1"
"201401BS70360,1,1,1,1,20,4,3,0,0,0,0,0,3,1"
"201401BS70361,1,1,2,2,54,8,3,0,0,0,3,0,11,1"
"201401BS70362,1,1,1,1,47,8,3,0,0,0,0,0,3,1"
"201401BS70365,1,2,2,1,10,2,3,0,0,2,0,0,9,1"
"201401BS70365,2,1,1,1,41,7,3,0,0,0,0,0,9,1"
"201401BS70366,1,1,3,1,3,1,3,5,3,0,0,2,0,1"
"201401BS70368,1,1,1,1,38,7,3,0,0,0,0,0,3,1"
"201401BS70369,1,1,1,1,36,7,3,0,0,0,0,0,19,1"
"201401BS70370,1,1,1,2,32,6,3,0,0,0,0,0,4,1"
"201401BS70370,1,2,3,2,17,4,3,1,1,0,0,2,0,-1"
"201401BS70371,1,1,3,2,60,9,3,4,3,0,0,2,0,-1"
"201401BS70372,2,1,1,1,35,6,3,0,0,0,0,0,1,1"
"201401BS70373,1,1,1,1,44,7,3,0,0,0,0,0,3,1"
"201401BS70374,2,1,1,1,25,5,3,0,0,0,0,0,1,1"
"201401BS70375,1,1,3,2,30,6,3,1,1,0,0,2,0,-1"
"201401BS70376,1,1,1,1,29,6,3,0,0,0,0,0,1,1"
"201401BS70378,1,1,1,1,43,7,3,0,0,0,0,0,1,-1"
"201401BS70379,1,1,2,2,69,10,2,0,0,0,2,0,11,1"
"201401BS70380,2,1,1,1,-1,-1,3,0,0,0,0,0,5,-1"
"201401BS70381,2,1,1,1,21,5,3,0,0,0,0,0,1,1"
"201401BS70385,1,1,1,2,56,9,3,0,0,0,0,0,9,1"
"201401BS70386,1,1,1,2,44,7,3,0,0,0,0,0,1,1"
"201401BS70388,2,1,1,1,22,5,2,0,0,0,0,0,3,1"
"201401BS70389,2,1,1,1,31,6,3,0,0,0,0,0,1,1"
"201401BS70391,2,1,1,1,47,8,2,0,0,0,0,0,5,-1"
"201401BS70392,1,1,3,2,29,6,2,6,9,0,0,2,0,-1"
"201401BS70393,1,1,3,1,69,10,2,1,1,0,0,2,0,-1"
"201401BS70394,2,1,1,1,35,6,3,0,0,0,0,0,1,1"
"201401BS70395,2,1,1,1,31,6,3,0,0,0,0,0,3,1"
"201401BS70396,1,1,3,1,35,6,3,1,1,0,0,2,0,1"
"201401BS70398,2,1,1,2,53,8,3,0,0,0,0,0,9,3"
"201401BS70398,2,2,3,1,43,7,3,9,6,0,0,2,0,1"
"201401BS70400,1,1,1,1,44,7,3,0,0,0,0,0,9,1"
"201401BS70403,1,1,1,1,31,6,3,0,0,0,0,0,1,1"
"201401BS70404,1,1,1,1,24,5,3,0,0,0,0,0,3,1"
"201401BS70405,1,1,1,1,21,5,3,0,0,0,0,0,1,1"
"201401BS70407,2,1,1,1,57,9,3,0,0,0,0,0,19,-1"
"201401BS70408,1,1,1,2,61,9,3,0,0,0,0,0,9,1"
"201401BS70408,1,2,2,1,73,10,3,0,0,2,0,0,9,1"
"201401BS70408,1,3,2,1,64,9,3,0,0,1,0,0,9,-1"
"201401BS70408,1,4,2,2,21,5,3,0,0,2,0,0,9,1"
"201401BS70408,1,5,2,2,53,8,3,0,0,2,0,0,9,-1"
"201401BS70409,1,2,1,1,64,9,3,0,0,0,0,0,19,1"
"201401BS70409,2,1,1,1,37,7,3,0,0,0,0,0,9,1"
"201401BS70413,1,1,1,1,33,6,3,0,0,0,0,0,9,1"
"201401BS70414,1,1,1,1,27,6,3,0,0,0,0,0,3,1"
"201401BS70415,1,1,3,2,12,3,3,5,1,0,0,2,0,1"
"201401BS70416,1,1,1,1,60,9,2,0,0,0,0,0,9,1"
