"Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type"
"201301BS70103,1,1,3,2,5,2,5,2,0,0,2,0,1"
"201301BS70103,1,2,3,2,6,2,5,2,0,0,2,0,1"
"201301BS70104,1,1,1,1,7,3,0,0,0,0,0,2,1"
"201301BS70105,2,1,1,2,6,3,0,0,0,0,0,2,1"
"201301BS70106,1,1,3,1,8,3,4,2,0,0,2,0,1"
"201301BS70107,1,1,3,2,8,3,5,3,0,0,2,0,1"
"201301BS70109,1,1,2,2,9,3,0,0,0,3,0,11,1"
"201301BS70110,1,1,1,2,5,3,0,0,0,0,0,1,1"
"201301BS70111,2,1,1,1,4,3,0,0,0,0,0,3,1"
"201301BS70112,1,1,1,2,6,3,0,0,0,0,0,3,1"
"201301BS70114,1,1,1,1,7,3,0,0,0,0,0,3,1"
"201301BS70115,1,1,3,2,6,3,5,1,0,0,2,0,1"
"201301BS70116,1,1,3,2,5,3,5,3,0,0,2,0,1"
"201301BS70117,1,1,3,2,8,3,9,9,0,0,2,0,1"
"201301BS70118,1,1,3,1,7,3,5,2,0,0,2,0,-1"
"201301BS70119,2,1,1,1,7,3,0,0,0,0,0,8,1"
"201301BS70119,2,2,2,1,3,3,0,0,2,0,0,8,1"
"201301BS70120,1,1,1,2,8,3,0,0,0,0,0,1,1"
"201301BS70121,1,1,3,1,9,3,1,1,0,0,2,0,1"
"201301BS70122,1,2,2,2,6,3,0,0,2,0,0,8,1"
"201301BS70122,2,1,2,2,3,3,0,0,2,0,0,9,1"
"201301BS70123,1,1,2,2,-1,3,0,0,2,0,0,8,-1"
"201301BS70124,2,1,1,1,5,3,0,0,0,0,0,3,1"
"201301BS70125,1,1,1,1,7,3,0,0,0,0,0,3,1"
"201301BS70126,2,1,1,1,7,3,0,0,0,0,0,5,-1"
"201301BS70127,1,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70128,1,1,1,2,6,3,0,0,0,0,0,1,1"
"201301BS70129,2,1,1,1,7,3,0,0,0,0,0,1,-1"
"201301BS70130,2,1,1,1,5,3,0,0,0,0,0,3,1"
"201301BS70131,1,1,2,2,6,3,0,0,0,3,0,11,-1"
"201301BS70132,1,1,3,2,-1,3,4,3,0,0,2,0,-1"
"201301BS70133,2,1,1,2,7,3,0,0,0,0,0,2,1"
"201301BS70134,2,1,1,1,5,3,0,0,0,0,0,3,1"
"201301BS70135,1,1,2,2,7,3,0,0,0,3,0,11,-1"
"201301BS70136,2,1,1,1,6,2,0,0,0,0,0,3,1"
"201301BS70137,2,1,1,2,6,3,0,0,0,0,0,3,1"
"201301BS70138,1,1,1,1,6,3,0,0,0,0,0,9,1"
"201301BS70139,1,1,1,1,7,3,0,0,0,0,0,9,1"
"201301BS70140,1,1,3,2,-1,3,9,9,0,0,2,0,1"
"201301BS70142,1,1,1,2,10,3,0,0,0,0,0,9,1"
"201301BS70143,1,1,2,2,10,3,0,0,0,4,0,11,1"
"201301BS70144,2,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70146,1,1,1,1,6,3,0,0,0,0,0,1,-1"
"201301BS70147,1,1,1,1,5,3,0,0,0,0,0,1,1"
"201301BS70148,2,1,1,1,-1,2,0,0,0,0,0,3,-1"
"201301BS70149,2,1,1,1,7,3,0,0,0,0,0,9,1"
"201301BS70150,2,1,2,1,2,3,0,0,0,4,0,11,1"
"201301BS70151,2,1,1,1,5,3,0,0,0,0,0,1,-1"
"201301BS70152,1,1,1,1,4,3,0,0,0,0,0,1,1"
"201301BS70153,1,1,3,2,4,3,4,1,0,0,2,0,1"
"201301BS70155,1,1,3,1,4,2,5,1,0,0,2,0,1"
"201301BS70156,1,1,1,1,8,3,0,0,0,0,0,9,1"
"201301BS70156,1,2,2,1,10,3,0,0,1,0,0,9,1"
"201301BS70158,1,1,1,2,7,3,0,0,0,0,0,3,1"
"201301BS70158,1,2,3,1,6,3,4,1,0,0,2,0,-1"
"201301BS70159,2,1,1,2,7,3,0,0,0,0,0,9,1"
"201301BS70160,2,1,1,2,4,3,0,0,0,0,0,9,1"
"201301BS70161,2,1,1,2,10,2,0,0,0,0,0,90,1"
"201301BS70163,1,1,1,1,7,3,0,0,0,0,0,3,1"
"201301BS70164,1,1,1,1,6,3,0,0,0,0,0,3,1"
"201301BS70166,2,1,1,2,6,3,0,0,0,0,0,1,1"
"201301BS70167,1,1,2,2,10,3,0,0,0,3,0,11,-1"
"201301BS70168,1,1,3,1,10,3,9,9,0,0,2,0,1"
"201301BS70171,2,1,1,1,7,3,0,0,0,0,0,19,-1"
"201301BS70172,1,1,3,2,2,3,4,1,0,0,2,0,1"
"201301BS70173,2,1,1,1,7,3,0,0,0,0,0,5,1"
"201301BS70174,1,1,1,1,5,3,0,0,0,0,0,1,1"
"201301BS70175,1,1,1,2,6,3,0,0,0,0,0,9,3"
"201301BS70176,1,1,1,1,7,3,0,0,0,0,0,5,1"
"201301BS70176,1,2,2,2,6,3,0,0,0,0,0,5,1"
"201301BS70177,1,1,3,1,8,3,4,1,0,0,2,0,-1"
"201301BS70178,1,1,3,2,5,3,4,1,0,0,2,0,-1"
"201301BS70179,1,1,3,2,6,3,1,1,0,0,2,0,1"
"201301BS70180,1,1,2,2,7,3,0,0,0,3,0,11,1"
"201301BS70181,1,1,3,1,4,3,5,1,0,0,2,0,1"
"201301BS70183,2,1,1,1,4,3,0,0,0,0,0,1,1"
"201301BS70184,1,1,3,2,6,3,5,1,0,0,2,0,1"
"201301BS70185,2,1,1,1,7,3,0,0,0,0,0,1,1"
"201301BS70186,1,1,3,1,6,3,10,9,0,0,2,0,1"
"201301BS70187,1,1,1,1,9,3,0,0,0,0,0,1,1"
"201301BS70188,2,1,1,1,7,3,0,0,0,0,0,1,1"
"201301BS70189,2,1,1,1,6,3,0,0,0,0,0,9,1"
"201301BS70190,1,1,3,1,5,3,2,1,0,0,2,0,1"
"201301BS70190,1,2,3,2,5,3,2,1,0,0,2,0,1"
"201301BS70191,2,1,1,1,8,3,0,0,0,0,0,1,-1"
"201301BS70192,1,1,3,2,4,3,5,1,0,0,2,0,1"
"201301BS70193,1,1,1,1,5,3,0,0,0,0,0,3,1"
"201301BS70194,1,1,3,1,6,3,9,9,0,0,2,0,1"
"201301BS70195,1,1,3,2,6,3,10,3,0,0,2,0,1"
"201301BS70196,1,1,1,1,7,3,0,0,0,0,0,9,-1"
"201301BS70197,2,1,1,1,6,3,0,0,0,0,0,1,1"
