AADFYear,CP,Road,RCat,S Ref Latitude,S Ref Longitude,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf
2014,16804,A259,PA,50.78219804,0.084550662,32,129,16386,214,3072,271
2014,16805,A259,PA,50.82590032,-0.184001086,1843,393,16362,165,3270,570
2014,16807,A259,PA,50.80252156,-0.624851045,60,182,14319,144,2656,314
2014,16809,A260,PA,51.09813079,1.175896877,41,138,11462,162,1372,145
2014,16810,A262,PA,51.11068492,0.42718795200000004,4,61,6892,16,1445,261
2014,16814,A265,PA,50.97519205,0.27765833300000003,24,90,6183,51,1884,303
2014,16815,A267,PA,51.04754345,0.256951205,4,107,7416,35,1652,366
2014,16817,A271,PA,50.87924027,0.244543421,43,147,9632,114,1818,511
2014,16821,A272,PA,51.00551569,-0.86116215,4,77,5044,48,1429,297
2014,16823,A273,PA,50.91986035,-0.154024202,39,157,9001,94,1649,233
2014,16824,A275,PA,51.05197337,0.014597228,15,25,3785,50,620,148
2014,16827,A281,PA,51.04661409,-0.29265341300000003,28,90,9225,42,1645,176
2014,16829,A283,PA,50.9891256,-0.609727046,24,137,8995,43,1969,112
2014,16830,A283,PA,50.95550791,-0.487926776,6,42,4575,41,998,211
2014,16831,A283,PA,50.83711178,-0.282983182,88,107,9056,84,2046,344
2014,16832,A284,PA,50.81746093,-0.5442048939999999,161,65,6234,20,1261,109
2014,16833,A286,PA,50.86516343,-0.783301998,126,101,7447,106,931,206
2014,16835,A288,PA,50.79577129,-1.05923737,604,475,17684,316,2558,275
2014,16838,A298,PA,51.40782873,-0.21855595,205,340,15721,221,2671,393
2014,16839,A299,PA,51.36079616,1.158701778,3,192,25073,51,5372,1255
2014,16840,A300,PA,51.500817100000006,-0.09865910800000001,952,753,5315,643,2220,813
2014,16841,A201,PA,51.49662104,-0.102204934,1915,745,7624,5094,2598,637
2014,16842,A303,TA,51.19797961,-1.2142290740000001,1,293,28682,89,4430,2101
2014,16844,A303,TA,51.17881474,-1.772487155,0,109,22337,123,3470,1945
2014,16847,A303,TA,51.02275482,-2.614460415,1,126,19229,141,2521,1323
2014,16851,A305,PA,51.44520134,-0.33222477899999997,857,251,11487,856,2159,254
2014,16852,A307,PA,51.41670349,-0.301479399,180,436,16832,290,2150,553
2014,16854,A308,PA,51.491642999999996,-0.172075339,1263,1022,12971,1145,1974,651
2014,16855,A308,PA,51.41123713,-0.30901559,483,829,35570,1153,4442,644
2014,16857,A308,PA,51.48488524,-0.633230402,299,201,18051,114,2132,319
2014,16859,A309,PA,51.43520043,-0.33719289399999997,387,415,13587,284,1009,205
2014,16860,A310,PA,51.45308392,-0.330066486,237,411,9023,278,1381,296
2014,16861,A311,PA,51.41751857,-0.35868780899999997,228,288,12502,331,2141,533
2014,16863,A312,PA,51.45416074,-0.40746163799999996,281,382,18793,933,2840,613
2014,16864,A313,PA,51.43059728,-0.361527885,126,184,12362,58,1161,253
