AADFYear,CP,Estimation_method,Estimation_method_detailed,ONS GOR Name,ONS LA Name,Road,RCat,S Ref E,S Ref N,S Ref Latitude,S Ref Longitude,FdPC,Fd2WMV,FdCar,FdBUS,FdLGV,FdHGVR2,FdHGVR3,FdHGVR4,FdHGVA3,FdHGVA5,FdHGVA6,FdHGV,FdAll_MV
2003,930475,Counted,Manual count,South West,Wiltshire,C,MCU,403800,124200,51.0171661,-1.947201862,3,4,403,2,65,11,2,0,0,1,0,14,488
2003,931166,Counted,Manual count,South East,Surrey,U,MCU,539990,153340,51.262039,0.004991841,37,28,4573,23,224,30,4,0,0,0,0,34,4882
2003,931172,Counted,Manual count,South East,Surrey,U,MCU,489860,159120,51.32409615,-0.711783211,152,31,4676,95,319,31,4,3,0,0,0,38,5159
2003,931291,Counted,Manual count,West Midlands,Staffordshire,U,MCU,411500,310270,52.68999873,-1.831298316,44,17,1825,11,184,10,0,0,1,0,0,11,2048
2003,940989,Counted,Manual count,Scotland,Orkney Islands,C41,MCU,344855,1010550,58.97853228,-2.960970254,22,20,2761,74,383,109,11,3,7,3,0,133,3371
2003,919496,Counted,Manual count,South West,Swindon,U,MCU,417400,183305,51.54837342,-1.75046081,181,36,1428,11,142,14,3,1,0,0,0,18,1635
2003,996398,Counted,Manual count,Scotland,Dumfries & Galloway,B7068,MB,335900,584450,55.15022153,-3.007344303,20,4,459,10,109,22,0,0,3,1,4,30,612
2003,951256,Counted,Manual count,Scotland,Dumfries & Galloway,U,MCU,298176,575697,55.06526967,-3.595931266,41,1,1075,29,126,14,4,0,0,0,0,18,1249
2003,997387,Counted,Manual count,South East,West Sussex,U,MCU,511921,103004,50.81578126,-0.412649346,436,119,6689,98,518,43,2,3,1,0,1,50,7474
2003,967941,Counted,Manual count,North East,Durham,B1280,MB,440000,537000,54.72640694,-1.380446804,90,57,5065,167,854,174,14,31,2,7,0,228,6371
2003,942849,Counted,Manual count,East of England,Peterborough,C,MCU,517560,300460,52.58924032,-0.266097785,245,12,1843,137,189,10,0,0,0,0,0,10,2191
2003,982182,Counted,Manual count,Scotland,Highland,U,MCU,336100,950300,58.43632052,-3.096095937,10,4,424,6,60,16,0,0,0,0,0,16,510
2003,955956,Counted,Manual count,South East,West Berkshire,U,MCU,457340,181350,51.52816004,-1.174828296,7,6,222,4,51,1,2,0,0,0,0,3,286
2003,990636,Counted,Manual count,London,Ealing,U,MCU,519215,180215,51.50830049,-0.283593071,7,5,274,1,13,1,0,0,0,0,0,1,294
2003,996472,Counted,Manual count,South West,North Somerset,C,MCU,350602,176146,51.48210106,-2.712752116,34,130,6734,12,1253,505,179,242,347,916,819,3008,11137
2003,954447,Counted,Manual count,Yorkshire and The Humber,East Riding of Yorkshire,U,MCU,478095,429463,53.75568845,-0.817024942,5,7,969,22,103,20,2,0,0,1,3,26,1127
2003,956887,Counted,Manual count,London,Redbridge,U,MCU,548308,192000,51.60731063,0.140298447,1,6,415,0,226,39,2,8,0,0,4,53,700
2003,930328,Counted,Manual count,London,Southwark,U,MCU,534980,175180,51.45951212,-0.058486144,231,125,6492,575,735,129,15,7,7,0,1,159,8086
2003,931236,Counted,Manual count,West Midlands,Worcestershire,C,MCU,397060,242450,52.08040119,-2.044314685,20,6,1066,6,145,12,3,2,0,0,0,17,1240
2003,931239,Counted,Manual count,West Midlands,Worcestershire,C,MCU,384380,280000,52.41776947,-2.231092909,10,44,3856,55,467,77,5,8,1,13,8,112,4534
2003,931242,Counted,Manual count,West Midlands,Worcestershire,U,MCU,407140,242640,52.08207326,-1.897220912,51,15,1239,8,191,32,3,0,0,0,1,36,1489
2003,930326,Counted,Manual count,London,Southwark,U,MCU,536250,180330,51.50548719,-0.038232074,74,58,4436,279,370,63,6,0,7,2,1,79,5222
2003,997612,Counted,Manual count,East of England,Suffolk,C,MCU,628867,271891,52.29743604,1.355047029,0,2,516,4,75,27,2,0,1,0,0,30,627
2003,931867,Counted,Manual count,Scotland,City of Edinburgh,U,MCU,325630,669950,55.91686889,-3.191460654,102,58,5900,23,387,49,8,0,6,0,0,63,6431
2003,940214,Counted,Manual count,West Midlands,Worcestershire,B4193,MB,383753,271032,52.33712843,-2.239874114,29,79,5069,37,776,119,3,0,1,2,1,126,6087
2003,963763,Counted,Manual count,East of England,Essex,C,MCU,539100,196000,51.64560153,0.009005165,39,77,3065,12,332,56,1,3,2,0,0,62,3548
2003,940933,Counted,Manual count,East of England,Essex,B1053,MB,573890,226110,51.906388,0.526417706,12,27,2257,16,315,88,14,11,3,4,8,128,2743
2003,991508,Counted,Manual count,East of England,Essex,C,MCU,574700,226121,51.9062336,0.538185734,14,14,609,10,103,42,6,2,4,11,6,71,807
2003,953332,Counted,Manual count,East of England,Essex,U,MCU,571900,194470,51.62279684,0.481877256,37,29,3443,21,517,126,2,8,11,0,0,147,4157
2003,997552,Counted,Manual count,East of England,Essex,C,MCU,585274,206235,51.72422253,0.681094949,59,33,2147,15,264,47,4,7,0,1,0,59,2518
2003,931140,Estimated,Estimated using previous year's AADF on this link,South East,West Sussex,U,MCU,524000,121600,50.98046708,-0.23496212,4,0,160,0,23,2,0,0,0,0,0,2,185
2003,990166,Counted,Manual count,Wales,Powys,B4569,MB,301753,292101,52.51790615,-3.449313205,3,1,806,0,116,19,9,0,0,0,1,29,952
2003,990114,Counted,Manual count,North West,Knowsley,B5178,MB,346610,387250,53.37939062,-2.804056239,30,49,2246,177,311,25,16,2,1,1,0,45,2828
2003,964059,Counted,Manual count,South East,Kent,C178,MCU,607100,134000,51.06795972,0.95455174,5,5,490,4,118,11,0,0,0,0,0,11,628
2003,931444,Counted,Manual count,East Midlands,Nottinghamshire,U,MCU,478550,382410,53.33278223,-0.821923962,23,18,2015,22,335,50,4,10,4,4,2,74,2464
2003,931443,Counted,Manual count,East Midlands,Nottinghamshire,U,MCU,451050,356540,53.10362319,-1.238955258,79,33,1988,52,198,29,0,1,0,0,0,30,2301
