Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
201401BS70776,2,3,0,9,0,8,0,0,0,0,1,1,6,1,32,6,109,1,1,2,1
201401BS70777,1,9,0,3,0,1,0,0,0,0,2,1,2,1,64,9,2148,2,8,-1,-1
201401BS70777,2,9,0,18,0,1,0,0,0,0,1,1,6,2,-1,-1,-1,-1,-1,-1,-1
201401BS70778,1,8,0,5,0,2,0,0,0,0,0,1,1,1,-1,-1,2664,2,15,-1,-1
201401BS70779,1,1,0,18,0,1,0,0,0,0,1,1,6,1,35,6,-1,-1,-1,4,1
201401BS70779,2,8,0,6,0,8,0,0,0,0,1,1,6,1,49,8,2499,2,6,6,1
201401BS70780,1,1,0,18,0,1,0,8,0,0,1,1,6,1,67,10,-1,-1,-1,5,1
201401BS70780,2,9,0,2,0,8,0,0,0,0,3,1,6,1,-1,-1,1364,1,5,4,1
201401BS70781,1,1,0,18,0,8,0,0,0,0,1,1,6,1,26,6,-1,-1,-1,5,1
201401BS70781,2,9,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,2204,2,9,-1,-1
201401BS70782,1,5,0,14,0,8,0,0,0,0,1,1,6,1,54,8,1084,1,13,8,3
201401BS70783,1,9,0,18,0,8,0,0,0,0,1,1,6,1,35,6,-1,-1,-1,6,1
201401BS70783,2,2,0,18,0,8,0,0,0,0,1,1,6,1,29,6,49,1,8,6,1
201401BS70784,1,4,0,18,0,0,0,0,0,0,1,1,6,1,27,6,125,1,5,2,1
201401BS70785,1,4,0,18,0,8,0,0,0,0,2,1,6,1,48,8,125,1,4,3,1
201401BS70785,2,9,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1
201401BS70785,3,19,0,18,0,8,0,0,0,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
201401BS70785,4,9,0,2,0,8,0,0,0,0,2,1,6,3,-1,-1,-1,-1,-1,-1,-1
201401BS70786,1,9,0,2,0,0,0,0,0,0,2,1,6,1,52,8,1598,2,-1,3,1
201401BS70786,2,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,1896,2,7,-1,-1
201401BS70787,1,3,0,14,0,8,0,4,0,0,1,1,1,1,33,6,125,1,3,-1,-1
201401BS70787,2,8,0,2,0,8,0,0,0,0,3,1,1,1,-1,-1,-1,-1,-1,-1,-1
201401BS70788,1,8,0,7,0,8,0,0,0,0,2,1,1,1,57,9,2499,2,1,2,1
201401BS70788,2,1,0,13,0,8,0,0,0,0,1,1,6,1,20,4,-1,-1,-1,4,1
