Acc_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
201301BS70050,1,3,0,9,0,8,1,0,0,0,3,1,2,1,7,125,1,4,6,1
201301BS70051,1,2,0,18,0,1,0,0,0,0,1,1,2,2,7,49,1,2,6,1
201301BS70051,2,8,0,6,0,2,0,0,0,0,3,1,1,1,-1,2664,2,15,3,1
201301BS70054,1,9,0,11,0,0,0,0,0,0,4,1,6,1,7,1686,2,8,3,1
201301BS70054,2,9,0,18,0,0,0,0,0,0,3,1,6,2,7,1461,2,3,3,1
201301BS70055,1,9,0,18,0,8,0,0,0,0,1,1,6,1,4,-1,-1,-1,10,1
201301BS70056,1,3,0,18,0,1,0,0,0,0,4,1,6,1,6,125,1,6,2,1
201301BS70056,2,9,0,12,0,1,0,0,0,0,3,1,6,1,9,1596,1,9,2,1
201301BS70057,1,3,0,4,0,0,0,0,0,0,3,1,2,1,6,124,1,12,10,1
201301BS70057,2,9,0,12,0,0,0,0,0,0,0,1,6,3,-1,1797,8,3,-1,-1
201301BS70058,1,2,0,18,0,0,0,0,0,0,1,1,6,1,6,696,1,5,4,1
201301BS70059,1,11,0,18,0,0,0,0,0,0,4,1,1,1,6,-1,-1,-1,-1,-1
201301BS70060,1,9,0,18,0,0,0,0,0,0,4,1,6,1,6,1781,1,9,1,1
201301BS70061,1,9,0,6,0,8,0,0,0,0,3,1,6,2,9,2979,1,11,5,1
201301BS70061,2,3,0,18,0,8,0,0,0,0,1,1,6,1,6,124,1,11,4,1
201301BS70063,1,1,0,18,0,8,0,0,0,0,1,1,1,1,6,-1,-1,-1,1,1
201301BS70064,1,9,0,18,0,0,0,0,0,0,4,1,6,1,10,2688,2,8,5,1
201301BS70065,1,20,0,18,0,8,0,0,0,0,3,1,1,1,5,4250,2,5,9,1
201301BS70065,2,9,0,11,0,8,0,0,0,0,4,1,6,2,6,1769,1,7,5,1
201301BS70066,1,3,0,9,0,8,0,0,0,0,0,1,1,1,6,125,1,2,3,1
201301BS70066,2,5,0,9,0,8,0,0,0,0,3,1,6,1,7,-1,-1,-1,2,1
201301BS70067,1,3,0,17,0,0,0,0,0,0,1,1,6,1,7,125,1,1,7,1
201301BS70068,1,9,0,9,0,8,0,0,0,0,1,1,6,1,10,1998,2,9,4,1
