Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
2016010000005,1,8,0,6,0,0,0,0,0,0,3,1,1,1,51,8,-1,-1,-1,3,1,3
2016010000005,2,2,0,18,0,0,0,0,0,0,1,1,6,1,23,5,124,1,4,4,1,4
2016010000006,1,9,0,18,0,2,2,10,1,0,4,1,6,2,36,7,1461,2,1,10,1,10
2016010000008,1,9,0,18,0,4,5,0,0,0,1,1,6,1,24,5,1390,1,5,8,1,8
2016010000016,1,11,0,18,0,1,0,0,0,0,0,1,1,1,55,8,6692,2,7,9,1,9
2016010000018,1,9,0,12,0,0,0,0,0,0,1,1,6,1,20,4,1596,1,11,2,1,2
2016010000018,2,1,0,18,0,0,0,0,0,0,4,1,6,1,28,6,-1,-1,-1,6,1,6
2016010000019,1,9,0,18,0,1,0,0,1,0,2,1,6,2,30,6,1596,1,10,3,1,3
2016010000019,2,9,0,18,0,1,0,0,0,0,1,1,6,1,27,6,1596,1,5,2,1,2
2016010000020,1,8,0,18,0,0,0,0,0,0,4,1,1,1,33,6,2499,2,2,2,1,2
2016010000021,1,9,0,9,0,6,0,0,0,0,1,2,6,1,25,5,-1,-1,-1,4,1,4
2016010000021,2,9,0,18,0,2,0,0,0,0,4,1,6,2,30,6,1596,1,15,7,1,7
2016010000023,1,4,0,9,0,1,1,0,0,0,0,1,6,1,21,5,-1,-1,-1,-1,1,-1
2016010000024,1,11,0,5,0,8,0,0,0,0,0,1,1,1,51,8,-1,-1,-1,-1,1,-1
2016010000024,2,9,0,13,0,8,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2016010000025,1,19,0,3,0,1,0,4,0,0,4,2,6,1,29,6,1461,2,3,6,1,6
2016010000025,2,19,0,3,0,1,0,0,0,0,3,2,6,1,31,6,1560,2,4,1,1,1
2016010000025,3,3,0,14,0,1,0,8,0,0,1,1,6,1,36,7,124,1,1,2,1,2
2016010000028,1,9,0,4,0,2,0,0,0,0,1,1,2,2,43,7,2143,2,2,9,3,9
2016010000031,1,9,0,7,0,5,0,0,0,0,4,1,2,1,29,6,-1,-1,-1,2,1,2
2016010000031,2,11,0,11,0,8,0,0,0,0,1,1,6,3,-1,-1,12000,2,9,-1,-1,-1
2016010000033,1,9,0,18,0,0,0,0,0,0,1,1,6,2,33,6,-1,-1,-1,-1,1,-1
2016010000035,1,11,0,18,0,8,0,0,0,0,4,1,1,1,30,6,-1,-1,-1,-1,1,-1
2016010000035,2,19,0,7,0,6,0,0,0,0,4,1,1,1,62,9,-1,-1,-1,-1,1,-1
2016010000039,1,3,0,18,0,8,0,0,0,0,3,1,2,1,34,6,125,1,-1,5,1,5
2016010000039,2,9,0,5,0,6,0,0,0,0,1,1,3,1,76,11,1973,1,17,5,1,5
2016010000046,1,1,0,11,0,1,0,0,0,0,1,1,1,1,20,4,-1,-1,-1,2,1,2
2016010000046,2,19,0,3,0,1,0,0,0,0,2,1,1,1,41,7,2299,2,-1,4,1,4
2016010000047,1,1,0,18,0,1,0,0,0,0,1,1,2,1,37,7,-1,-1,-1,7,1,7
2016010000048,1,9,0,9,0,8,0,11,0,0,4,1,1,1,59,9,1399,2,5,4,1,4
2016010000049,1,90,0,18,0,6,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
2016010000050,1,9,0,18,0,1,0,11,0,0,1,1,2,2,38,7,2993,2,10,2,1,2
2016010000050,2,9,0,3,0,1,0,4,0,0,2,1,2,1,39,7,1968,2,11,2,1,2
2016010000050,3,9,0,3,0,1,0,4,0,0,2,1,2,1,38,7,2143,2,2,4,2,4
2016010000050,4,9,0,3,0,1,0,0,0,0,2,1,2,2,52,8,1796,1,13,4,1,4
2016010000051,1,9,0,18,0,2,0,0,0,0,3,1,6,1,79,11,1390,1,15,1,1,1
2016010000051,2,9,0,18,0,1,0,0,0,0,1,1,6,1,37,7,1796,1,14,7,1,7
2016010000052,1,90,0,5,0,4,0,0,0,0,1,1,1,1,35,6,-1,-1,-1,3,1,3
2016010000052,2,9,0,5,0,4,0,0,0,0,2,1,6,2,47,8,1598,1,6,4,1,4
2016010000053,1,19,0,1,0,0,0,0,0,0,2,1,1,1,52,8,1998,2,12,6,1,6
2016010000055,1,9,0,8,0,0,0,0,1,0,3,1,6,1,77,11,1598,1,10,6,1,6
2016010000055,2,19,0,16,0,0,0,0,0,0,3,1,1,1,50,8,1968,2,-1,1,1,1
2016010000056,1,3,0,13,0,0,0,0,0,0,4,1,2,1,58,9,-1,-1,-1,-1,1,-1
2016010000056,2,19,0,18,0,0,0,0,0,0,0,1,1,1,24,5,-1,-1,-1,-1,1,-1
2016010000058,1,1,0,9,0,5,0,0,0,0,4,1,6,1,23,5,-1,-1,-1,2,1,2
2016010000058,2,9,0,5,0,8,0,0,0,0,1,2,6,1,61,9,1997,2,2,2,1,2
2016010000060,1,11,0,4,0,1,0,0,0,0,1,1,1,1,37,7,6700,2,5,3,1,3
2016010000061,1,9,0,18,0,0,0,0,0,0,1,1,2,2,48,8,1242,1,5,4,1,4
2016010000064,1,9,0,18,0,1,0,0,0,0,1,1,6,1,52,8,1587,1,13,-1,-1,-1
2016010000064,2,9,0,9,0,6,0,0,0,0,1,1,6,1,38,7,1396,1,16,7,1,7
2016010000066,1,9,0,9,0,6,0,0,0,0,1,1,6,1,58,9,1086,1,11,1,1,1
2016010000067,1,9,0,4,0,0,0,0,0,0,2,1,1,2,29,6,1582,2,3,7,1,7
2016010000067,2,19,0,4,0,0,0,0,0,0,2,1,1,1,27,6,2402,2,6,-1,-1,-1
2016010000067,3,9,0,4,0,0,0,0,0,0,2,1,6,2,68,10,998,1,7,-1,-1,-1
2016010000069,1,9,0,9,0,5,0,0,0,0,0,2,6,1,63,9,1596,1,11,5,1,5
2016010000069,2,1,0,18,0,1,0,0,0,0,1,1,2,1,29,6,-1,-1,-1,5,1,5
2016010000072,1,9,0,7,0,1,0,0,0,0,2,1,6,3,-1,-1,1798,8,-1,-1,-1,-1
2016010000072,2,1,0,18,0,1,0,0,0,0,1,1,6,1,24,5,-1,-1,-1,6,1,6
2016010000073,1,8,0,7,0,6,0,0,0,0,1,1,1,1,48,8,1686,2,2,9,1,9
2016010000073,2,1,0,18,4,2,5,0,0,0,4,1,6,1,31,6,-1,-1,-1,-1,-1,-1
2016010000074,1,5,0,13,0,2,0,0,0,0,3,1,2,1,51,8,745,1,-1,5,1,5
2016010000076,1,9,0,18,0,8,0,0,0,0,1,1,6,1,58,9,-1,-1,-1,-1,1,-1
2016010000076,2,9,0,5,0,8,0,0,0,0,3,1,6,2,59,9,-1,-1,-1,-1,1,-1
2016010000077,1,90,4,4,0,1,0,0,0,0,2,1,1,1,38,7,-1,-1,-1,5,1,5
2016010000077,2,19,0,18,0,1,0,0,0,0,1,1,6,1,30,6,1598,2,2,1,1,1
2016010000079,1,8,0,12,0,1,0,0,0,0,3,1,1,1,24,5,1997,2,6,3,1,3
2016010000079,2,2,0,13,0,1,0,0,0,0,1,1,6,2,28,6,49,1,12,3,1,3
2016010000081,1,9,0,11,0,0,5,0,0,0,1,1,2,1,32,6,998,1,1,5,1,5
2016010000081,2,9,0,18,0,0,0,0,0,0,2,1,6,2,38,7,1686,2,3,6,1,6
2016010000082,1,9,0,3,0,2,0,0,0,0,2,1,6,1,29,6,6208,1,4,1,1,1
2016010000082,2,9,0,18,0,1,0,0,0,0,1,1,6,1,83,11,1597,1,17,4,1,4
2016010000084,1,11,0,18,0,1,0,0,0,0,0,1,1,1,43,7,4500,2,9,2,1,2
2016010000085,1,9,0,18,9,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2016010000085,2,1,0,18,9,0,0,0,0,0,2,1,6,1,21,5,-1,-1,-1,5,1,5
2016010000086,1,5,0,5,0,1,0,0,0,0,2,1,2,1,40,7,998,1,8,5,1,5
2016010000086,2,9,0,18,0,1,0,0,1,0,1,1,2,2,32,6,1206,1,7,6,1,6
2016010000087,1,4,0,14,0,1,0,0,0,0,1,1,6,1,46,8,124,1,3,10,3,10
2016010000087,2,9,0,5,0,6,0,0,0,0,1,1,6,1,21,5,1197,1,-1,2,1,2
2016010000090,1,9,0,7,0,2,0,0,0,0,3,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2016010000092,1,9,0,18,0,0,0,11,0,0,4,1,2,1,29,6,1390,1,8,4,1,4
2016010000092,2,9,0,12,0,0,0,11,0,0,3,1,2,1,34,6,-1,-1,-1,2,1,2
2016010000094,1,9,0,3,0,0,0,0,0,0,2,2,2,1,24,5,1599,1,14,4,1,4
2016010000094,2,9,0,18,0,0,0,0,0,0,1,2,6,1,55,8,1422,1,-1,-1,-1,-1
2016010000095,1,9,0,18,0,1,0,0,0,0,1,1,6,2,62,9,1497,8,9,-1,-1,-1
2016010000095,2,9,0,18,0,1,0,0,0,0,2,1,1,1,56,9,-1,-1,-1,9,1,9
2016010000095,3,9,0,18,0,1,0,0,0,0,4,1,6,1,65,9,1390,1,6,6,1,6
2016010000095,4,9,0,18,0,1,0,0,0,0,3,1,6,1,34,6,-1,-1,-1,7,1,7
2016010000096,1,9,0,17,0,8,0,0,0,0,1,1,6,2,52,8,1229,1,6,6,2,6
2016010000096,2,9,0,9,0,8,0,0,0,0,1,1,6,2,37,7,1796,1,16,3,1,3
2016010000099,1,9,0,18,0,1,0,0,0,0,1,1,6,1,71,10,1997,1,11,2,1,2
2016010000100,1,9,0,18,0,0,0,0,0,0,4,2,3,2,44,7,1598,1,8,9,1,9
2016010000101,1,19,0,18,0,1,0,0,0,0,1,2,6,3,-1,-1,2461,2,8,-1,-1,-1
2016010000101,2,8,0,18,0,1,0,0,0,0,2,2,1,1,34,6,1598,2,5,1,1,1
2016010000103,1,3,0,18,0,8,0,0,0,0,0,1,6,1,36,7,125,1,7,2,1,2
2016010000103,2,9,0,10,0,8,0,0,0,0,0,1,6,1,31,6,1956,2,7,-1,-1,-1
2016010000108,1,9,0,4,0,0,0,0,0,0,2,1,2,1,46,8,1997,2,5,-1,-1,-1
2016010000108,2,4,0,18,2,0,0,0,0,0,1,1,6,1,28,6,929,1,16,2,1,2
2016010000109,1,9,0,9,9,3,1,0,1,4,1,1,6,1,18,4,1598,1,12,1,1,1
2016010000109,2,9,0,18,0,3,0,0,0,0,0,1,1,1,38,7,2993,2,1,4,1,4
2016010000110,1,9,0,6,0,1,0,0,3,0,4,1,1,1,39,7,-1,-1,-1,-1,1,-1
2016010000110,2,9,0,3,0,1,0,10,3,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2016010000114,1,9,0,12,0,0,0,0,0,0,1,1,3,1,21,5,1968,2,11,1,1,1
2016010000114,2,9,0,4,0,0,0,0,0,0,2,1,1,1,48,8,-1,-1,-1,6,1,6
2016010000114,3,19,0,4,0,0,0,0,0,0,3,1,1,1,47,8,1968,2,-1,9,3,9
2016010000115,1,19,0,7,0,2,0,0,0,0,4,1,2,1,54,8,1997,2,-1,8,1,8
2016010000115,2,1,0,15,0,2,0,0,1,0,1,1,2,1,23,5,-1,-1,-1,3,1,3
2016010000116,1,19,0,9,0,5,0,0,0,0,1,1,1,1,33,6,2198,2,2,-1,-1,-1
2016010000116,2,5,0,18,0,1,0,0,0,0,1,1,6,1,24,5,-1,-1,-1,7,1,7
2016010000117,1,9,0,18,0,0,0,0,0,0,1,1,6,1,43,7,1995,2,13,5,1,5
2016010000117,2,1,0,4,0,0,0,0,0,0,1,1,6,1,45,7,-1,-1,-1,6,1,6
2016010000119,1,19,0,3,0,4,0,0,0,0,1,1,1,1,54,8,1998,2,13,3,1,3
2016010000120,1,11,0,18,9,1,0,4,2,2,1,1,6,1,57,9,9360,2,6,4,1,4
2016010000120,2,11,0,18,0,1,0,0,0,0,2,1,6,1,49,8,4500,2,7,4,1,4
2016010000120,3,9,0,3,0,1,0,4,0,0,2,1,1,2,29,6,-1,-1,-1,1,1,1
2016010000121,1,11,0,7,0,6,0,0,0,0,1,1,1,1,43,7,4500,2,6,5,1,5
2016010000122,1,9,0,7,0,1,0,0,0,0,1,1,6,1,67,10,-1,-1,-1,-1,1,-1
2016010000124,1,9,0,18,0,8,0,11,0,0,1,1,2,1,24,5,-1,-1,-1,-1,1,-1
2016010000125,1,8,0,18,0,6,0,0,0,0,1,1,1,1,40,7,1997,2,2,3,1,3
2016010000125,2,4,0,9,0,8,0,0,0,0,3,1,2,1,48,8,471,1,3,3,1,3
2016010000126,1,9,0,18,0,0,0,0,0,0,3,1,3,2,45,7,1240,1,13,1,1,1
2016010000126,2,21,1,18,0,0,1,0,0,0,1,1,1,1,47,8,11967,2,5,3,1,3
2016010000129,1,9,0,18,0,1,0,0,0,0,3,1,3,2,52,8,1998,1,9,2,1,2
2016010000129,2,9,0,9,0,2,0,0,0,0,1,1,1,2,53,8,1399,2,11,3,1,3
2016010000130,1,9,0,5,0,2,0,0,0,0,1,1,6,2,20,4,-1,-1,-1,-1,1,-1
2016010000132,1,4,0,5,0,1,0,0,0,0,1,1,6,1,21,5,124,1,8,2,1,2
2016010000134,1,11,0,18,0,1,0,0,0,0,1,1,1,2,32,6,4500,2,8,6,1,6
2016010000134,2,19,0,5,0,6,0,0,0,0,3,1,1,1,36,7,2299,2,-1,6,1,6
2016010000135,1,19,0,4,0,1,0,0,0,0,2,1,1,1,30,6,1598,2,1,6,1,6
2016010000135,2,9,0,18,0,1,0,0,0,0,1,1,6,2,43,7,1796,1,6,3,1,3
2016010000138,1,9,0,18,0,0,0,0,0,0,1,1,6,2,28,6,1198,1,3,8,1,8
2016010000138,2,9,0,18,0,0,0,0,0,0,1,1,6,2,50,8,1198,1,12,6,1,6
2016010000138,3,9,0,2,0,0,0,0,0,0,3,1,6,3,-1,-1,1968,2,10,-1,-1,-1
2016010000138,4,9,0,2,0,0,0,0,0,0,3,1,6,3,-1,-1,1197,1,3,-1,-1,-1
2016010000140,1,11,0,5,0,0,0,0,0,0,0,1,1,1,44,7,-1,-1,-1,2,1,2
2016010000141,1,9,0,9,0,7,0,0,0,0,1,1,6,1,39,7,1596,1,12,1,1,1
2016010000141,2,4,0,18,0,5,0,0,0,0,1,1,6,1,20,4,-1,-1,-1,2,1,2
2016010000143,1,4,0,18,0,0,0,11,0,0,1,1,1,1,21,5,125,1,4,3,1,3
2016010000146,1,11,0,4,0,8,0,0,0,0,0,1,1,1,62,9,4500,2,-1,2,1,2
2016010000147,1,3,0,18,0,1,0,0,0,0,3,1,2,1,22,5,49,1,3,3,1,3
2016010000147,2,9,0,9,0,1,0,0,0,0,3,1,6,1,61,9,1596,1,7,5,1,5
2016010000153,1,19,0,7,0,8,0,0,0,0,4,1,1,1,51,8,-1,-1,-1,-1,1,-1
2016010000153,2,1,0,18,0,8,0,0,0,0,1,1,6,2,21,5,-1,-1,-1,-1,1,-1
2016010000154,1,9,0,9,0,5,0,0,0,0,1,1,6,2,48,8,1400,2,9,2,1,2
2016010000154,2,3,0,13,0,1,0,0,0,0,1,1,6,1,18,4,125,1,5,4,1,4
