"""date"",""geography"",""geography code"",""Rural Urban"",""Variable: All usual residents; measures: Value"",""Variable: Males; measures: Value"",""Variable: Females; measures: Value"",""Variable: Lives in a household; measures: Value"",""Variable: Lives in a communal establishment; measures: Value"",""Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value"",""Variable: Area (Hectares); measures: Value"",""Variable: Density (number of persons per hectare); measures: Value"""
"""2011"",""Manchester 032B"",""E01005185"",""Total"",4024,1957,2067,1692,2332,70,23.36,172.3"
"""2011"",""Manchester 032C"",""E01005271"",""Total"",2101,1072,1029,2091,10,12,18.29,114.9"
"""2011"",""Manchester 032D"",""E01005282"",""Total"",1852,941,911,1852,0,26,36.64,50.5"
"""2011"",""Manchester 032E"",""E01005283"",""Total"",1481,745,736,1449,32,18,15.53,95.4"
"""2011"",""Manchester 033A"",""E01005154"",""Total"",1581,760,821,1581,0,16,15.24,103.7"
"""2011"",""Manchester 033B"",""E01005156"",""Total"",1496,729,767,1496,0,11,26.88,55.7"
"""2011"",""Manchester 033C"",""E01005158"",""Total"",1511,725,786,1511,0,14,34.14,44.3"
"""2011"",""Manchester 033D"",""E01005300"",""Total"",1561,737,824,1561,0,25,27.37,57.0"
"""2011"",""Manchester 033E"",""E01005301"",""Total"",1601,788,813,1596,5,25,25.90,61.8"
"""2011"",""Manchester 034A"",""E01005118"",""Total"",1507,712,795,1507,0,17,22.00,68.5"
"""2011"",""Manchester 034B"",""E01005120"",""Total"",1849,890,959,1849,0,15,22.36,82.7"
"""2011"",""Manchester 034C"",""E01005215"",""Total"",2004,998,1006,2004,0,6,34.79,57.6"
"""2011"",""Manchester 034D"",""E01005216"",""Total"",1526,738,788,1526,0,11,31.81,48.0"
"""2011"",""Manchester 034E"",""E01005217"",""Total"",1905,923,982,1895,10,28,31.85,59.8"
"""2011"",""Manchester 034F"",""E01005218"",""Total"",1683,887,796,1681,2,15,22.34,75.3"
"""2011"",""Manchester 035A"",""E01005270"",""Total"",1747,840,907,1747,0,11,21.63,80.8"
"""2011"",""Manchester 035B"",""E01005272"",""Total"",1802,813,989,1781,21,10,47.96,37.6"
"""2011"",""Manchester 035C"",""E01005273"",""Total"",1558,815,743,1558,0,19,14.55,107.1"
"""2011"",""Manchester 035D"",""E01005278"",""Total"",1839,892,947,1839,0,15,23.23,79.2"
"""2011"",""Manchester 035E"",""E01005279"",""Total"",2036,999,1037,2036,0,16,62.70,32.5"
"""2011"",""Manchester 036A"",""E01005305"",""Total"",1795,974,821,1795,0,23,32.81,54.7"
"""2011"",""Manchester 036B"",""E01005309"",""Total"",2297,1107,1190,2274,23,5,21.03,109.2"
"""2011"",""Manchester 036C"",""E01005310"",""Total"",1860,842,1018,1860,0,25,15.53,119.8"
"""2011"",""Manchester 036D"",""E01005311"",""Total"",1769,903,866,1769,0,10,20.99,84.3"
"""2011"",""Manchester 036E"",""E01005312"",""Total"",1811,923,888,1811,0,23,12.22,148.2"
"""2011"",""Manchester 037A"",""E01005082"",""Total"",1548,720,828,1548,0,10,77.47,20.0"
"""2011"",""Manchester 037B"",""E01005153"",""Total"",1663,781,882,1663,0,14,17.52,94.9"
"""2011"",""Manchester 037C"",""E01005155"",""Total"",1411,676,735,1411,0,13,37.61,37.5"
"""2011"",""Manchester 037D"",""E01005157"",""Total"",1591,749,842,1591,0,32,89.11,17.9"
"""2011"",""Manchester 038A"",""E01005274"",""Total"",1766,877,889,1766,0,13,25.33,69.7"
"""2011"",""Manchester 038B"",""E01005275"",""Total"",1695,879,816,1695,0,14,15.11,112.2"
"""2011"",""Manchester 038C"",""E01005276"",""Total"",1602,816,786,1529,73,17,20.13,79.6"
"""2011"",""Manchester 038D"",""E01005277"",""Total"",1729,919,810,1716,13,21,28.24,61.2"
"""2011"",""Manchester 039A"",""E01005076"",""Total"",1483,767,716,1434,49,5,16.18,91.7"
"""2011"",""Manchester 039C"",""E01005081"",""Total"",1770,824,946,1770,0,11,41.93,42.2"
"""2011"",""Manchester 039D"",""E01005083"",""Total"",1710,910,800,1710,0,9,36.49,46.9"
"""2011"",""Manchester 039E"",""E01033670"",""Total"",1252,632,620,1252,0,1,25.26,49.6"
"""2011"",""Manchester 039F"",""E01033671"",""Total"",1709,887,822,1647,62,5,22.44,76.2"
"""2011"",""Manchester 040A"",""E01005125"",""Total"",1596,771,825,1596,0,15,22.91,69.7"
"""2011"",""Manchester 040B"",""E01005304"",""Total"",1810,983,827,1797,13,13,20.99,86.2"
"""2011"",""Manchester 040C"",""E01005306"",""Total"",1546,792,754,1546,0,41,33.21,46.6"
"""2011"",""Manchester 040D"",""E01005307"",""Total"",1971,1044,927,1971,0,15,27.23,72.4"
"""2011"",""Manchester 040E"",""E01005308"",""Total"",1697,833,864,1690,7,10,33.39,50.8"
"""2011"",""Manchester 041A"",""E01005119"",""Total"",1531,727,804,1531,0,9,28.91,53.0"
"""2011"",""Manchester 041B"",""E01005121"",""Total"",1594,745,849,1594,0,9,26.14,61.0"
"""2011"",""Manchester 041C"",""E01005122"",""Total"",1681,787,894,1681,0,13,34.46,48.8"
"""2011"",""Manchester 041D"",""E01005123"",""Total"",1701,809,892,1701,0,14,22.36,76.1"
"""2011"",""Manchester 041E"",""E01005124"",""Total"",1734,781,953,1734,0,10,23.89,72.6"
"""2011"",""Manchester 042A"",""E01005077"",""Total"",1558,730,828,1558,0,9,42.62,36.6"
"""2011"",""Manchester 042B"",""E01005078"",""Total"",1453,745,708,1401,52,18,36.65,39.6"
"""2011"",""Manchester 042C"",""E01005079"",""Total"",1565,748,817,1513,52,33,43.89,35.7"
"""2011"",""Manchester 042D"",""E01005084"",""Total"",2018,973,1045,2018,0,14,86.99,23.2"
"""2011"",""Manchester 043A"",""E01005172"",""Total"",1600,787,813,1589,11,23,30.94,51.7"
"""2011"",""Manchester 043B"",""E01005173"",""Total"",1547,790,757,1508,39,21,82.04,18.9"
"""2011"",""Manchester 043C"",""E01005174"",""Total"",1570,753,817,1570,0,39,20.66,76.0"
"""2011"",""Manchester 043D"",""E01005175"",""Total"",1605,801,804,1605,0,20,23.47,68.4"
"""2011"",""Manchester 043E"",""E01005176"",""Total"",1806,903,903,1799,7,7,27.46,65.8"
"""2011"",""Manchester 043F"",""E01005177"",""Total"",1339,629,710,1339,0,23,18.54,72.2"
"""2011"",""Manchester 044A"",""E01005115"",""Total"",1874,935,939,1874,0,16,34.55,54.2"
"""2011"",""Manchester 044B"",""E01005262"",""Total"",1841,897,944,1841,0,7,27.53,66.9"
"""2011"",""Manchester 044C"",""E01005264"",""Total"",1535,720,815,1480,55,14,41.67,36.8"
"""2011"",""Manchester 044D"",""E01005265"",""Total"",1684,813,871,1684,0,8,30.16,55.8"
"""2011"",""Manchester 044E"",""E01005266"",""Total"",1957,940,1017,1943,14,10,32.23,60.7"
"""2011"",""Manchester 045A"",""E01005126"",""Total"",2034,1004,1030,2034,0,18,29.08,69.9"
"""2011"",""Manchester 045B"",""E01005168"",""Total"",1388,679,709,1382,6,39,34.45,40.3"
"""2011"",""Manchester 045C"",""E01005169"",""Total"",1367,662,705,1208,159,38,74.53,18.3"
"""2011"",""Manchester 045D"",""E01005170"",""Total"",1531,761,770,1531,0,16,70.66,21.7"
"""2011"",""Manchester 045E"",""E01005171"",""Total"",1697,854,843,1697,0,14,53.55,31.7"
"""2011"",""Manchester 046A"",""E01005263"",""Total"",1633,843,790,1604,29,7,116.85,14.0"
"""2011"",""Manchester 046B"",""E01005267"",""Total"",1551,760,791,1546,5,11,117.72,13.2"
"""2011"",""Manchester 046C"",""E01005268"",""Total"",2018,979,1039,2018,0,19,82.38,24.5"
"""2011"",""Manchester 046D"",""E01005269"",""Total"",1484,715,769,1482,2,24,59.50,24.9"
"""2011"",""Manchester 047A"",""E01005069"",""Total"",1447,696,751,1447,0,9,34.53,41.9"
"""2011"",""Manchester 047B"",""E01005111"",""Total"",1405,644,761,1405,0,19,25.95,54.1"
"""2011"",""Manchester 047C"",""E01005113"",""Total"",1573,797,776,1573,0,1,25.36,62.0"
"""2011"",""Manchester 047D"",""E01005114"",""Total"",1768,845,923,1748,20,34,53.26,33.2"
"""2011"",""Manchester 047E"",""E01005116"",""Total"",1964,924,1040,1964,0,10,43.08,45.6"
"""2011"",""Manchester 048A"",""E01005071"",""Total"",1592,771,821,1592,0,8,32.33,49.2"
"""2011"",""Manchester 048B"",""E01005072"",""Total"",1703,837,866,1682,21,8,28.76,59.2"
"""2011"",""Manchester 048C"",""E01005073"",""Total"",1492,754,738,1492,0,6,41.82,35.7"
"""2011"",""Manchester 048D"",""E01005112"",""Total"",1660,807,853,1660,0,7,76.57,21.7"
"""2011"",""Manchester 048E"",""E01005117"",""Total"",2059,1041,1018,2059,0,8,99.29,20.7"
"""2011"",""Manchester 049A"",""E01005085"",""Total"",1567,751,816,1565,2,3,29.36,53.4"
"""2011"",""Manchester 049B"",""E01005086"",""Total"",1811,885,926,1805,6,9,24.78,73.1"
"""2011"",""Manchester 049C"",""E01005089"",""Total"",1920,891,1029,1839,81,5,29.13,65.9"
"""2011"",""Manchester 049D"",""E01005289"",""Total"",1450,710,740,1442,8,3,22.79,63.6"
"""2011"",""Manchester 049E"",""E01005295"",""Total"",2459,1213,1246,2357,102,6,90.10,27.3"
"""2011"",""Manchester 050A"",""E01005087"",""Total"",2083,970,1113,2083,0,8,29.61,70.3"
"""2011"",""Manchester 050B"",""E01005088"",""Total"",1708,768,940,1708,0,3,35.37,48.3"
"""2011"",""Manchester 050C"",""E01005090"",""Total"",1597,746,851,1597,0,3,32.82,48.7"
"""2011"",""Manchester 050D"",""E01005091"",""Total"",2159,1037,1122,2159,0,12,27.36,78.9"
"""2011"",""Manchester 050E"",""E01005291"",""Total"",1454,676,778,1454,0,7,40.71,35.7"
"""2011"",""Manchester 051A"",""E01005068"",""Total"",1578,745,833,1566,12,10,32.35,48.8"
"""2011"",""Manchester 051B"",""E01005070"",""Total"",1682,808,874,1628,54,9,80.68,20.8"
"""2011"",""Manchester 051C"",""E01005074"",""Total"",1522,736,786,1522,0,3,45.57,33.4"
"""2011"",""Manchester 051D"",""E01005075"",""Total"",1390,647,743,1378,12,1,81.63,17.0"
"""2011"",""Manchester 051E"",""E01005319"",""Total"",2131,1010,1121,2131,0,9,46.69,45.6"
"""2011"",""Manchester 052A"",""E01005290"",""Total"",1544,763,781,1544,0,5,33.44,46.2"
"""2011"",""Manchester 052B"",""E01005292"",""Total"",1479,692,787,1479,0,2,30.74,48.1"
"""2011"",""Manchester 052C"",""E01005293"",""Total"",1229,592,637,1229,0,10,24.61,49.9"
"""2011"",""Manchester 052D"",""E01005294"",""Total"",1496,739,757,1496,0,10,43.71,34.2"
"""2011"",""Manchester 052E"",""E01005317"",""Total"",1647,804,843,1646,1,5,196.36,8.4"
"""2011"",""Manchester 053A"",""E01005313"",""Total"",1496,717,779,1496,0,5,28.34,52.8"
"""2011"",""Manchester 053B"",""E01005314"",""Total"",1575,747,828,1575,0,4,29.69,53.0"
"""2011"",""Manchester 053C"",""E01005315"",""Total"",1503,720,783,1503,0,5,36.41,41.3"
"""2011"",""Manchester 053D"",""E01005316"",""Total"",1606,796,810,1606,0,7,687.23,2.3"
"""2011"",""Manchester 053E"",""E01005318"",""Total"",1874,889,985,1808,66,5,62.04,30.2"
"""2011"",""Manchester 054A"",""E01005130"",""Total"",1481,779,702,1444,37,9,34.38,43.1"
"""2011"",""Manchester 054B"",""E01033651"",""Total"",1152,657,495,1152,0,14,29.74,38.7"
"""2011"",""Manchester 054C"",""E01033658"",""Total"",1303,712,591,1093,210,16,61.11,21.3"
"""2011"",""Manchester 054D"",""E01033664"",""Total"",1119,602,517,1042,77,4,25.91,43.2"
"""2011"",""Manchester 054E"",""E01033667"",""Total"",1006,589,417,994,12,6,13.28,75.8"
"""2011"",""Manchester 055A"",""E01005128"",""Total"",1710,898,812,1300,410,19,13.65,125.3"
"""2011"",""Manchester 055B"",""E01033653"",""Total"",1670,964,706,1664,6,8,31.23,53.5"
"""2011"",""Manchester 055C"",""E01033654"",""Total"",2956,1502,1454,1126,1830,44,27.79,106.4"
"""2011"",""Manchester 055D"",""E01033659"",""Total"",1336,782,554,1336,0,2,18.11,73.8"
"""2011"",""Manchester 055E"",""E01033661"",""Total"",1155,710,445,1155,0,4,55.76,20.7"
"""2011"",""Manchester 056A"",""E01005143"",""Total"",2602,1368,1234,2592,10,20,17.55,148.3"
"""2011"",""Manchester 056B"",""E01033655"",""Total"",1197,683,514,1197,0,3,11.54,103.7"
"""2011"",""Manchester 056C"",""E01033665"",""Total"",1212,704,508,1212,0,11,70.41,17.2"
"""2011"",""Manchester 056D"",""E01033676"",""Total"",1668,824,844,1668,0,14,72.42,23.0"
"""2011"",""Manchester 057A"",""E01005212"",""Total"",2110,1074,1036,1256,854,47,27.81,75.9"
"""2011"",""Manchester 057B"",""E01033656"",""Total"",3490,1873,1617,1390,2100,46,20.96,166.5"
"""2011"",""Manchester 057C"",""E01033662"",""Total"",1335,828,507,1332,3,11,14.50,92.1"
"""2011"",""Manchester 058A"",""E01005142"",""Total"",1912,948,964,1912,0,10,27.36,69.9"
"""2011"",""Manchester 058B"",""E01005147"",""Total"",2538,1236,1302,2538,0,21,55.90,45.4"
"""2011"",""Manchester 058C"",""E01033674"",""Total"",2206,1535,671,1398,808,12,72.55,30.4"
"""2011"",""Manchester 058D"",""E01033675"",""Total"",2064,993,1071,2058,6,19,24.65,83.7"
"""2011"",""Manchester 059A"",""E01005213"",""Total"",2189,1192,997,2189,0,10,25.59,85.5"
"""2011"",""Manchester 059B"",""E01033660"",""Total"",1168,679,489,1168,0,2,9.67,120.8"
"""2011"",""Manchester 059C"",""E01033672"",""Total"",1291,690,601,1291,0,11,23.20,55.6"
"""2011"",""Manchester 059D"",""E01033673"",""Total"",1101,658,443,1101,0,6,6.44,171.0"
"""2011"",""Manchester 060A"",""E01033677"",""Total"",1170,694,476,1170,0,12,25.91,45.2"
"""2011"",""Manchester 060B"",""E01033681"",""Total"",1373,796,577,1372,1,6,34.31,40.0"
"""2011"",""Manchester 060C"",""E01033682"",""Total"",1261,741,520,1261,0,5,16.96,74.4"
"""2011"",""Manchester 060D"",""E01033683"",""Total"",1259,756,503,1259,0,14,19.79,63.6"
"""2011"",""Oldham 001A"",""E01005357"",""Total"",1424,698,726,1424,0,20,135.90,10.5"
"""2011"",""Oldham 001B"",""E01005358"",""Total"",1643,762,881,1643,0,5,26.21,62.7"
"""2011"",""Oldham 001C"",""E01005359"",""Total"",1594,791,803,1594,0,16,115.58,13.8"
"""2011"",""Oldham 001D"",""E01005360"",""Total"",1402,669,733,1402,0,12,94.28,14.9"
"""2011"",""Oldham 002A"",""E01005441"",""Total"",1592,756,836,1592,0,10,71.45,22.3"
"""2011"",""Oldham 002B"",""E01005442"",""Total"",1408,681,727,1408,0,15,36.98,38.1"
"""2011"",""Oldham 002C"",""E01005444"",""Total"",1504,702,802,1504,0,12,20.48,73.4"
"""2011"",""Oldham 002D"",""E01005445"",""Total"",1537,742,795,1537,0,22,23.19,66.3"
"""2011"",""Oldham 003A"",""E01005361"",""Total"",1696,824,872,1696,0,24,59.35,28.6"
"""2011"",""Oldham 003B"",""E01005443"",""Total"",1396,680,716,1396,0,40,443.98,3.1"
"""2011"",""Oldham 003C"",""E01005446"",""Total"",1393,680,713,1393,0,28,42.05,33.1"
"""2011"",""Oldham 003D"",""E01005447"",""Total"",1630,762,868,1507,123,6,72.58,22.5"
"""2011"",""Oldham 004A"",""E01005390"",""Total"",1515,734,781,1515,0,8,25.63,59.1"
"""2011"",""Oldham 004B"",""E01005394"",""Total"",1540,741,799,1540,0,26,188.67,8.2"
"""2011"",""Oldham 004C"",""E01005395"",""Total"",1439,711,728,1439,0,19,33.18,43.4"
"""2011"",""Oldham 004D"",""E01005396"",""Total"",1482,733,749,1474,8,20,43.35,34.2"
"""2011"",""Oldham 005A"",""E01005355"",""Total"",1511,737,774,1511,0,9,22.91,66.0"
"""2011"",""Oldham 005B"",""E01005356"",""Total"",1335,638,697,1335,0,36,33.83,39.5"
"""2011"",""Oldham 005C"",""E01005399"",""Total"",1589,796,793,1589,0,20,32.54,48.8"
"""2011"",""Oldham 005D"",""E01005403"",""Total"",1679,852,827,1660,19,17,74.00,22.7"
"""2011"",""Oldham 006A"",""E01005410"",""Total"",1550,784,766,1550,0,38,1297.91,1.2"
"""2011"",""Oldham 006B"",""E01005411"",""Total"",1548,736,812,1548,0,37,174.85,8.9"
"""2011"",""Oldham 006C"",""E01005414"",""Total"",1295,669,626,1295,0,24,1849.16,0.7"
"""2011"",""Oldham 006D"",""E01005415"",""Total"",1148,548,600,1148,0,17,104.98,10.9"
"""2011"",""Oldham 007C"",""E01005452"",""Total"",1372,678,694,1372,0,26,99.03,13.9"
"""2011"",""Oldham 007D"",""E01005453"",""Total"",1320,643,677,1320,0,24,72.21,18.3"
"""2011"",""Oldham 007E"",""E01032558"",""Total"",1447,667,780,1447,0,6,52.15,27.7"
"""2011"",""Oldham 007F"",""E01032559"",""Total"",2800,1376,1424,2725,75,22,167.99,16.7"
"""2011"",""Oldham 008A"",""E01005391"",""Total"",1593,806,787,1593,0,19,144.00,11.1"
"""2011"",""Oldham 008B"",""E01005392"",""Total"",1481,706,775,1481,0,4,30.54,48.5"
"""2011"",""Oldham 008C"",""E01005393"",""Total"",1271,607,664,1231,40,13,38.32,33.2"
"""2011"",""Oldham 008D"",""E01005401"",""Total"",1652,804,848,1652,0,26,44.57,37.1"
"""2011"",""Oldham 009A"",""E01005397"",""Total"",1459,709,750,1443,16,14,123.20,11.8"
"""2011"",""Oldham 009B"",""E01005398"",""Total"",1548,724,824,1482,66,13,53.51,28.9"
"""2011"",""Oldham 009C"",""E01005400"",""Total"",1503,741,762,1503,0,8,38.71,38.8"
"""2011"",""Oldham 009D"",""E01005402"",""Total"",1533,737,796,1506,27,11,36.07,42.5"
"""2011"",""Oldham 010A"",""E01005335"",""Total"",1289,630,659,1289,0,23,34.84,37.0"
"""2011"",""Oldham 010B"",""E01005337"",""Total"",1963,978,985,1963,0,19,24.56,79.9"
"""2011"",""Oldham 010C"",""E01005339"",""Total"",1463,738,725,1463,0,28,168.64,8.7"
"""2011"",""Oldham 010D"",""E01005340"",""Total"",1435,673,762,1435,0,5,33.40,43.0"
"""2011"",""Oldham 011A"",""E01005421"",""Total"",1709,801,908,1621,88,14,50.39,33.9"
"""2011"",""Oldham 011B"",""E01005422"",""Total"",1503,691,812,1503,0,8,44.44,33.8"
"""2011"",""Oldham 011E"",""E01032920"",""Total"",1870,962,908,1870,0,9,52.84,35.4"
"""2011"",""Oldham 012A"",""E01005448"",""Total"",1472,733,739,1458,14,9,25.77,57.1"
"""2011"",""Oldham 012B"",""E01005449"",""Total"",1218,573,645,1218,0,8,46.47,26.2"
"""2011"",""Oldham 012C"",""E01005454"",""Total"",1449,712,737,1423,26,22,50.87,28.5"
"""2011"",""Oldham 012D"",""E01005455"",""Total"",1586,822,764,1564,22,18,16.50,96.1"
"""2011"",""Oldham 012E"",""E01005456"",""Total"",1589,780,809,1589,0,10,23.23,68.4"
"""2011"",""Oldham 013A"",""E01005407"",""Total"",1706,866,840,1706,0,48,324.48,5.3"
"""2011"",""Oldham 013B"",""E01005412"",""Total"",1690,853,837,1690,0,36,155.98,10.8"
"""2011"",""Oldham 013C"",""E01005416"",""Total"",1385,695,690,1357,28,27,412.29,3.4"
"""2011"",""Oldham 013D"",""E01005417"",""Total"",1463,698,765,1424,39,18,238.44,6.1"
"""2011"",""Oldham 014A"",""E01005348"",""Total"",1654,814,840,1654,0,9,19.43,85.1"
"""2011"",""Oldham 014B"",""E01005350"",""Total"",2011,1091,920,1972,39,6,49.80,40.4"
"""2011"",""Oldham 014C"",""E01005432"",""Total"",1499,737,762,1497,2,12,50.96,29.4"
"""2011"",""Oldham 014D"",""E01005433"",""Total"",1515,700,815,1515,0,13,57.99,26.1"
"""2011"",""Oldham 015A"",""E01005329"",""Total"",1526,774,752,1526,0,20,30.55,50.0"
"""2011"",""Oldham 015B"",""E01005330"",""Total"",1562,778,784,1562,0,24,257.86,6.1"
"""2011"",""Oldham 015C"",""E01005333"",""Total"",1274,655,619,1274,0,23,24.21,52.6"
"""2011"",""Oldham 015D"",""E01005336"",""Total"",1576,787,789,1576,0,13,37.55,42.0"
"""2011"",""Oldham 016A"",""E01005349"",""Total"",2424,1205,1219,2424,0,23,24.58,98.6"
"""2011"",""Oldham 016B"",""E01005351"",""Total"",1986,976,1010,1986,0,12,24.54,80.9"
"""2011"",""Oldham 016C"",""E01005352"",""Total"",1449,734,715,1433,16,5,18.08,80.1"
"""2011"",""Oldham 016D"",""E01005353"",""Total"",1913,1014,899,1913,0,10,38.12,50.2"
"""2011"",""Oldham 016E"",""E01005354"",""Total"",1764,885,879,1743,21,18,52.61,33.5"
"""2011"",""Oldham 017A"",""E01005327"",""Total"",1932,917,1015,1798,134,11,46.72,41.4"
"""2011"",""Oldham 017B"",""E01005328"",""Total"",1369,703,666,1369,0,11,49.67,27.6"
"""2011"",""Oldham 017C"",""E01005331"",""Total"",1544,775,769,1544,0,6,22.76,67.8"
"""2011"",""Oldham 017D"",""E01005334"",""Total"",1514,749,765,1514,0,19,29.57,51.2"
"""2011"",""Oldham 017E"",""E01005338"",""Total"",1791,848,943,1791,0,6,42.06,42.6"
"""2011"",""Oldham 018A"",""E01005387"",""Total"",1431,714,717,1431,0,20,25.90,55.3"
"""2011"",""Oldham 018B"",""E01005388"",""Total"",1354,640,714,1321,33,14,28.12,48.2"
"""2011"",""Oldham 018C"",""E01005389"",""Total"",1661,818,843,1619,42,19,59.21,28.1"
"""2011"",""Oldham 018D"",""E01005418"",""Total"",1510,752,758,1510,0,21,27.61,54.7"
"""2011"",""Oldham 019A"",""E01005428"",""Total"",1736,892,844,1736,0,13,27.79,62.5"
"""2011"",""Oldham 019B"",""E01005431"",""Total"",1720,829,891,1663,57,7,43.93,39.2"
"""2011"",""Oldham 019C"",""E01005450"",""Total"",1670,811,859,1670,0,7,17.86,93.5"
"""2011"",""Oldham 019D"",""E01005451"",""Total"",1336,670,666,1336,0,8,32.00,41.8"
"""2011"",""Oldham 020C"",""E01005408"",""Total"",1771,878,893,1771,0,30,99.35,17.8"
"""2011"",""Oldham 020D"",""E01005409"",""Total"",1658,804,854,1658,0,44,2568.32,0.6"
"""2011"",""Oldham 020E"",""E01032922"",""Total"",2477,1205,1272,2477,0,49,85.18,29.1"
"""2011"",""Oldham 021A"",""E01005406"",""Total"",1414,702,712,1414,0,43,147.91,9.6"
"""2011"",""Oldham 021B"",""E01005413"",""Total"",1665,815,850,1665,0,35,56.99,29.2"
"""2011"",""Oldham 021C"",""E01005419"",""Total"",1502,706,796,1502,0,24,24.67,60.9"
"""2011"",""Oldham 021D"",""E01005420"",""Total"",1678,782,896,1653,25,19,45.19,37.1"
"""2011"",""Oldham 022A"",""E01005321"",""Total"",1609,815,794,1576,33,6,76.68,21.0"
"""2011"",""Oldham 022B"",""E01005326"",""Total"",3008,1448,1560,2788,220,19,22.31,134.8"
"""2011"",""Oldham 022C"",""E01005427"",""Total"",2021,989,1032,2021,0,10,29.05,69.6"
"""2011"",""Oldham 022D"",""E01005429"",""Total"",1818,915,903,1818,0,12,25.19,72.2"
"""2011"",""Oldham 022E"",""E01005430"",""Total"",2394,1180,1214,2394,0,15,26.68,89.7"
"""2011"",""Oldham 024A"",""E01005320"",""Total"",1913,956,957,1884,29,11,22.36,85.6"
"""2011"",""Oldham 024B"",""E01005434"",""Total"",1340,739,601,1340,0,13,62.41,21.5"
"""2011"",""Oldham 024C"",""E01005437"",""Total"",1908,950,958,1908,0,11,13.35,142.9"
"""2011"",""Oldham 024D"",""E01005459"",""Total"",1358,636,722,1358,0,2,33.55,40.5"
"""2011"",""Oldham 026A"",""E01005383"",""Total"",1968,942,1026,1968,0,20,47.28,41.6"
"""2011"",""Oldham 026D"",""E01005386"",""Total"",1388,656,732,1388,0,7,205.85,6.7"
"""2011"",""Oldham 026E"",""E01032556"",""Total"",1439,724,715,1439,0,7,40.66,35.4"
"""2011"",""Oldham 026F"",""E01032557"",""Total"",1654,759,895,1628,26,4,37.02,44.7"
"""2011"",""Oldham 027A"",""E01005342"",""Total"",1336,642,694,1336,0,6,25.69,52.0"
"""2011"",""Oldham 027B"",""E01005343"",""Total"",1393,660,733,1393,0,9,14.27,97.6"
"""2011"",""Oldham 027C"",""E01005344"",""Total"",1499,709,790,1499,0,7,26.40,56.8"
"""2011"",""Oldham 027D"",""E01005381"",""Total"",1511,729,782,1497,14,15,31.84,47.5"
"""2011"",""Oldham 028A"",""E01005332"",""Total"",2295,1093,1202,2295,0,22,57.72,39.8"
"""2011"",""Oldham 028B"",""E01005341"",""Total"",1459,747,712,1443,16,4,25.52,57.2"
"""2011"",""Oldham 028C"",""E01005345"",""Total"",1506,760,746,1506,0,11,63.64,23.7"
"""2011"",""Oldham 028D"",""E01005346"",""Total"",1433,705,728,1401,32,17,38.37,37.3"
"""2011"",""Oldham 028E"",""E01005347"",""Total"",1345,679,666,1345,0,11,57.90,23.2"
"""2011"",""Oldham 029A"",""E01005322"",""Total"",1267,598,669,1267,0,7,21.40,59.2"
"""2011"",""Oldham 029B"",""E01005323"",""Total"",1397,705,692,1397,0,6,27.89,50.1"
"""2011"",""Oldham 029C"",""E01005324"",""Total"",1469,668,801,1423,46,5,52.30,28.1"
"""2011"",""Oldham 029D"",""E01005325"",""Total"",1001,473,528,1001,0,10,33.75,29.7"
"""2011"",""Oldham 029E"",""E01005438"",""Total"",2331,1188,1143,2331,0,8,68.85,33.9"
"""2011"",""Oldham 030A"",""E01005377"",""Total"",1327,629,698,1327,0,2,23.02,57.6"
"""2011"",""Oldham 030B"",""E01005379"",""Total"",1272,547,725,1272,0,3,17.53,72.6"
"""2011"",""Oldham 030C"",""E01005380"",""Total"",1509,707,802,1509,0,22,59.42,25.4"
"""2011"",""Oldham 030D"",""E01005382"",""Total"",1453,718,735,1453,0,13,28.51,51.0"
"""2011"",""Oldham 030E"",""E01005439"",""Total"",1519,737,782,1519,0,12,29.48,51.5"
"""2011"",""Oldham 031A"",""E01005362"",""Total"",1462,715,747,1460,2,10,29.59,49.4"
"""2011"",""Oldham 031B"",""E01005364"",""Total"",1674,817,857,1674,0,6,24.33,68.8"
"""2011"",""Oldham 031C"",""E01005368"",""Total"",1542,731,811,1542,0,11,26.28,58.7"
"""2011"",""Oldham 031D"",""E01005376"",""Total"",1288,604,684,1288,0,3,43.80,29.4"
"""2011"",""Oldham 031E"",""E01005378"",""Total"",1494,733,761,1494,0,3,49.18,30.4"
"""2011"",""Oldham 032A"",""E01005363"",""Total"",1539,757,782,1539,0,9,30.38,50.7"
"""2011"",""Oldham 032B"",""E01005369"",""Total"",1494,698,796,1419,75,3,53.08,28.1"
"""2011"",""Oldham 032C"",""E01005370"",""Total"",1437,692,745,1437,0,9,40.80,35.2"
"""2011"",""Oldham 032D"",""E01005371"",""Total"",1331,652,679,1309,22,10,34.26,38.8"
"""2011"",""Oldham 033A"",""E01005365"",""Total"",1456,729,727,1456,0,14,102.97,14.1"
"""2011"",""Oldham 033B"",""E01005366"",""Total"",1514,686,828,1475,39,5,30.47,49.7"
"""2011"",""Oldham 033C"",""E01005367"",""Total"",1474,716,758,1474,0,22,190.31,7.7"
"""2011"",""Oldham 033D"",""E01005440"",""Total"",1334,638,696,1334,0,4,161.03,8.3"
"""2011"",""Oldham 034A"",""E01005372"",""Total"",1191,578,613,1191,0,10,20.32,58.6"
"""2011"",""Oldham 034B"",""E01005373"",""Total"",1201,581,620,1201,0,7,18.90,63.5"
"""2011"",""Oldham 034C"",""E01005374"",""Total"",1443,701,742,1443,0,7,20.66,69.8"
