"""date"",""geography"",""geography code"",""Rural Urban"",""Variable: All usual residents; measures: Value"",""Variable: Males; measures: Value"",""Variable: Females; measures: Value"",""Variable: Lives in a household; measures: Value"",""Variable: Lives in a communal establishment; measures: Value"",""Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value"",""Variable: Area (Hectares); measures: Value"",""Variable: Density (number of persons per hectare); measures: Value"""
"""2011"",""Darlington 014C"",""E01012358"",""Total"",1679,835,844,1655,24,13,58.80,28.6"
"""2011"",""Darlington 014D"",""E01012359"",""Total"",1586,707,879,1586,0,13,26.70,59.4"
"""2011"",""Darlington 015A"",""E01012338"",""Total"",1908,918,990,1908,0,24,2045.19,0.9"
"""2011"",""Darlington 015B"",""E01012339"",""Total"",1732,843,889,1719,13,46,338.45,5.1"
"""2011"",""Darlington 015C"",""E01012344"",""Total"",1337,649,688,1337,0,9,466.48,2.9"
"""2011"",""Darlington 015D"",""E01012345"",""Total"",1480,718,762,1291,189,28,871.56,1.7"
"""2011"",""Darlington 015E"",""E01012346"",""Total"",1833,911,922,1823,10,18,156.08,11.7"
"""2011"",""County Durham 002A"",""E01020613"",""Total"",1392,688,704,1392,0,12,212.55,6.5"
"""2011"",""County Durham 002B"",""E01020614"",""Total"",1429,678,751,1429,0,7,41.06,34.8"
"""2011"",""County Durham 002C"",""E01020622"",""Total"",1657,829,828,1657,0,19,577.51,2.9"
"""2011"",""County Durham 002D"",""E01020623"",""Total"",1503,756,747,1503,0,21,52.50,28.6"
"""2011"",""County Durham 005A"",""E01020606"",""Total"",1509,751,758,1492,17,5,387.44,3.9"
"""2011"",""County Durham 005B"",""E01020615"",""Total"",1778,844,934,1727,51,10,63.19,28.1"
"""2011"",""County Durham 005C"",""E01020616"",""Total"",1688,807,881,1671,17,9,91.05,18.5"
"""2011"",""County Durham 005D"",""E01020617"",""Total"",1812,884,928,1812,0,11,245.39,7.4"
"""2011"",""County Durham 007A"",""E01020596"",""Total"",1679,787,892,1679,0,6,34.40,48.8"
"""2011"",""County Durham 007B"",""E01020597"",""Total"",1495,733,762,1495,0,10,46.89,31.9"
"""2011"",""County Durham 007C"",""E01020598"",""Total"",1770,871,899,1770,0,15,56.38,31.4"
