"grid_square,population_per_hectare,bicycle_aadf,motor_vehicle_aadf,safe"
"""51.572,-0.4435"",31.1,151.8,25847.80000000001,1"
"""51.407,-0.1835"",142.5,575.0,35016.4,1"
"""51.468,0.2515"",1.5,0.0,128692.0,1"
"""51.319,-0.286"",4.0,85.2,16208.4,1"
"""51.341,0.196"",2.0,16.4,5928.4,1"
"""51.2885,0.178"",2.0,34.2,15887.4,1"
"""51.3835,-0.0075"",17.2,68.4,5462.799999999998,1"
"""51.644,-0.3365"",7.7,25.4,10423.4,1"
"""51.6805,-0.471"",3.6,0.0,176717.0,1"
"""51.459,-0.3655"",80.5,194.6,8399.6,1"
"""51.5,0.166"",15.0,24.8,9866.8,1"
"""51.4725,-0.069"",93.1,1816.666666666667,4781.333333333333,1"
"""51.2675,-0.0455"",34.6,5.6,27429.4,1"
"""51.478,-0.0565"",134.8,2023.6,30623.4,1"
"""51.542,-0.4925"",30.6,90.8,13348.0,1"
"""51.274,0.275"",2.0,35.8,18698.4,1"
"""51.7,-0.0405"",56.6,52.8,46652.8,1"
"""51.599,-0.5135"",3.6,16.4,12239.000000000002,1"
"""51.3455,-0.4505"",70.5,85.8,27316.4,1"
"""51.456,-0.184"",145.6,136.0,1419.4,1"
"""51.579,0.165"",50.7,43.6,52972.0,1"
"""51.6915,0.1095"",64.2,1.2,436.60000000000014,1"
"""51.6445,-0.0015"",22.6,36.8,16606.200000000004,1"
"""51.383,-0.2835"",33.6,498.8,24837.4,1"
"""51.288,-0.078"",25.3,26.2,9047.4,1"
"""51.373,-0.0575"",12.6,105.6,21285.2,1"
"""51.5715,-0.3405"",28.8,45.0,14397.8,1"
"""51.711,0.045"",100.8,21.0,19809.4,1"
"""51.299,-0.322"",4.0,23.6,1418.2,1"
"""51.3805,-0.0575"",12.6,60.0,20989.0,1"
"""51.281,-0.2105"",11.2,82.2,37027.4,1"
"""51.6365,-0.087"",21.2,162.4,16833.800000000007,1"
"""51.406,0.0045"",46.4,185.4,16747.0,1"
"""51.6115,0.0135"",28.5,38.4,13358.2,1"
"""51.577,-0.473"",5.7,8.0,103045.6,1"
"""51.518,0.028"",106.6,304.8,21910.800000000007,1"
"""51.526,0.1275"",6.9,71.4,95543.4,1"
"""51.432,0.162"",11.9,119.0,17220.000000000004,1"
"""51.6045,-0.098"",84.6,168.8,16661.8,1"
"""51.468,-0.0765"",79.9,273.6,17046.8,1"
"""51.314,-0.3775"",4.0,61.2,6513.0,1"
"""51.545,-0.4395"",66.1,662.4,92268.4,1"
"""51.4725,0.2425"",1.5,29.0,7360.599999999998,1"
"""51.4425,0.187"",51.8,36.8,18091.0,1"
"""51.55,-0.19"",121.8,8.4,920.0,1"
"""51.298,0.022"",34.8,40.2,16860.199999999993,1"
"""51.5135,-0.25"",78.5,92.6,84946.40000000001,1"
"""51.7185,-0.2525"",5.1,0.0,71997.6,1"
"""51.361,-0.512"",10.6,96.0,7678.4,1"
"""51.508,-0.4875"",47.3,0.0,138350.80000000002,1"
"""51.397,0.1255"",2.2,78.6,10862.4,1"
"""51.5855,-0.2625"",67.4,71.4,15158.2,1"
